TERMOS;OBSERVA��O (CARACTERES);EXLCUIR;sin�nimo (categoria);Frequency
RESEARCH-A SURVEY;;1;;1
RESEARCHERS PERSPECTIVES;;;;1
RESEARCHING REPRODUCTIVE;;;;1
RESEARCHING SEXUAL;;;;1
RESEARCH-TO-POLICY COLLABORATION;;;;1
RESIDENCY EDUCATION;;;EDUCATION FRAMEWORK;1
RESIDENTIAL SEGREGATION;;;;1
RESILIENCE BLACK;;;;1
RESISTANCE HUMAN;;;;1
RESISTANCES VULNERABILITIES;;;;1
RESISTING JAMES;;;;1
RESOURCE DISABILITY;;;;1
RESPECT ABQ;;;;1
RESPECTING PROCREATIVE;;;;1
RESPONSE-ABLE FUTURES;;;;1
RESPONSIBLE WOMEN;;;;1
RESTORING WOMENS;;;;1
RESTORYING REPRODUCTIVE;;;;1
RESTRAINED MOTHERHOOD;;;;1
RESTRICTED ABORTION;;;ABORTION STUDY;1
RESTRICTING ACCESS;;;;1
RESTRICTIVE ABORTION;;;ABORTION STUDY;1
RESULTADOS MATERNO;;;;1
RETHINKING ADVANCED;;1;;1
RETHINKING REPRODUCTIVE;;;;1
RETHINKING RISK;;;;1
RETROFIT REFORM;;;;1
RETROFITTING FELLOWSHIPS;;;;1
REVERSIBLE ETONOGESTREL;;;;1
REVERSIBLE OPPORTUNITIES;;;;1
REVIEW FORCEDCOERCED;;;;1
REVIEW MAPPING;;1;;1
REVISÃO DE;;1;;1
REVISITING CHALLENGES;;;;1
REVISITING SURROGACY;;;;1
REVITALISING CRITICAL;;;;1
REVOLUTION II;;;;1
REWRITTEN INTRODUCTION;;;;1
REWRITTEN PREFACE;;;;1
RHETORIC SEX;;;;1
RHETORICAL ALIGNMENT;;;;1
RHETORICAL INVENTION;;;;1
RHETORICALLY LISTENING;;;;1
RICA OCTOBER;;;;1
RICAN BIRTH;;;;1
RIGHTS ACTIVISM;;;;1
RIGHTS COMPREHENSIVE;;;;1
RIGHTS CONCERNS;;;;1
RIGHTS COUNTERING;;;;1
RIGHTS FUNDING;;;;1
RIGHTS ORGANIZING;;;;1
RIGHTS PARADIGM;;;;1
RIGHTS RADICAL;;;;1
RIGHTS RESEARCH;;;;1
RIGHTS SRHR;;;;1
RIGHTS TRANSNATIONAL;;;;1
RIGHTS-BASED DISCOURSE;;;;1
RIGHTS-RELATED INEQUALITIES;;;EQUITY ADDRESSING;1
RIGHT-WING ANNIHILATIONISM;;;;1
RISK DISCOURSE;;;;1
RISK EVALUATION;;;;1
RISK FACTOR;;;;1
RISK RECOGNITION;;;;1
RISKS BODIES;;;;1
RISKS FEMINIST;;;;1
RJ FRAMEWORK;;1;;1
ROBBEN ISLAND;;;;1
ROBUST ESTIMATE;;;;1
ROEI SOCIETY;;;;1
ROMANI GIRLS;;;;1
ROMOMATTER EMPOWERING;;;;1
ROONEYS LITERATURES;;;;1
ROOTED ABORTION;;;;1
ROSSS IOREOI;;1;;1
ROSSS OREO;;1;;1
ROUNDTABLE IREPRODUCTIVE;;;;1
ROUNDTABLE REPRODUCTIVE;;;;1
ROUTLEDGE HANDBOOK;;;;1
RUINED MADONNA;;;;1
RULING ILLUMINATES;;;;1
RUN REPRODUCTIVE;;;;1
RURAL FAMILIES;;;;1
RURAL JAILS;;;;1
RUTH OZEKI;;;;1
SAÚDE SEXUAL;CARACTER ESPECIAL;;;1
SAFE ABORTION;;;;1
SAFE AFRICAN;;;;1
SAFE APPROACHES;;;;1
SAFE EFFECTIVE;;;;1
SAFE MOTHERHOOD;;;;1
SAFEGUARDING ABORTION;;;;1
SAFEGUARDING CONCERNS;;;;1
SAFER CONCEPTION;;;;1
SAFETY ACCESSING;;;;1
SAFETY CULTURE;;;;1
SAFETY DOMINANT;;;;1
SAFETY NET;;;;1
SAGA RESTRICTIVE;;;;1
SALE REFLECTING;;;;1
SALUD SEXUAL;;;;1
SAN FRANCISCO;;;;1
SANTIAGO CHILE;;;;1
SARAH LEAH;;;;1
SASSAFRASS CYPRESS;;;;1
SATISFIED OUTCOMES;;;;1
SAYAKA MURATAS;;;;1
SCIENTIFIC COMMUNITY;;;;1
SCREENING REPRODUCTIVE;;;;1
SCREENING TOOL;;;;1
SCROUNGERS STRIVERS;;;;1
SECONDARY ANALYSIS;;;;1
SECTION IV;;;;1
SECURING REPRODUCTIVE;;;;1
SEED SAVING;;;;1
SEEKING PERMANENT;;;;1
SEEKING REPRODUCTIVE;;;;1
SEEKING RESPECTFUL;;;;1
SELECTING WOMEN;;;;1
SELECTION CAMPAIGN;;;;1
SELECTIVE ABORTION;;;ABORTION STUDY;1
SELF-DETERMINING YOUTH;;;ADDRESSING TEENAGE;1
SELF-HELP LITERATURE;;;;1
SELF-IDENTIFIED RACE;;;;1
SELF-MANAGED CARE;;;;1
SELMAI II;;;;1
SENATOR JEN;;;;1
SENTENCIA BRASILEÑA;CARACTER ESPECIAL;;;1
SEPARATING FAMILIES;;;;1
SER MADRE;;;;1
SERVICE ACTIVISM;;;;1
SERVICE EXPERIENCES;;;;1
SERVICE POLICY;;;;1
SERVICES PROVISION;;;;1
SERVICES UNITED;;;;1
SERVING GENDER;;;;1
SETTINGS SERVING;;;;1
SEVILLE SPAIN;;;;1
SEX EDUCATION;;;SEX EDUCATION;1
SEX EDUCATIONI;;;SEX EDUCATION;1
SEX EDUCATORS;;;SEX EDUCATION;1
SEX EXPLORING;;;;1
SEX FREEDOM;;;;1
SEX INVOLVES;;;;1
SEX MARRIAGE;;;;1
SEX SELECTION;;;;1
SEX SOCIAL;;;;1
SEXOLOGY ARCHIVE;;;;1
SEX-POSITIVE CRIMINOLOGY;;;;1
SEXUAL ABUSE;;;;1
SEXUAL AGENCY;;;;1
SEXUAL ATTITUDES;;;;1
SEXUAL CITIZENS;;;;1
SEXUAL CITIZENSHIP;;;;1
SEXUAL DISCOURSE;;;;1
SEXUAL EXPLOITATION;;;;1
SEXUAL MINORITY;;;;1
SEXUAL PANIC;;;;1
SEXUAL RIGHTS;;;;1
SEXUAL STEREOTYPES;;;;1
SEXUAL TRANSMISSION;;;;1
SEXUAL WELL-BEING;;;;1
SEXUALITY EXPANDING;;;;1
SEXUALITY HEALTH;;;;1
SEXUALITY OPPRESSION;;;;1
SEXUALLY TRANSMITTED;;;;1
SHANGES ISASSAFRASS;;;;1
SHANGES SASSAFRASS;;;;1
SHAPE FEMINIST;;;;1
SHAPES LATINAX;;;;1
SHARED DECISION;;;;1
SHARED FUTURES;;;;1
SHIFTING GLOBAL;;;;1
SIJ ICSCMI;;1;;1
SILOES INTERSECTIONALITY;;;;1
SILOS ENVIRONMENTAL;;;ENVIRONMENTAL JUSTICE;1
SILVIA NANCLARES;;;;1
SINGLE MOTHERS;;;;1
SINGLE WOMEN;;;;1
SINNERS REPRODUCTIVE;;;;1
SISTEMA ÚNICO;CARACTER ESPECIAL;;;1
SISTEMA NACIONAL;;;;1
SISTERLOVE GEORGIA;;;;1
SITE EXAMINING;;;;1
SITU SEED;;;;1
SITUATED BODIES;;;;1
SITUATED KINMAKING;;;;1
SITUATING REPRODUCTIVE;;;;1
SITUATIONAL ANALYSIS;;;;1
SIXTIES SCOOP;;;;1
SIZE FERTILITY;;;;1
SLANT VIEWS;;;;1
SLAVES MARRONNAGE;;;;1
SLGBTQ YOUTH;;;;1
SLIPPERY EUGENICS;;;;1
SLOW VIOLENCE;;;;1
SMARTPHONE APP;;;;1
SOBRE ABORTO;;;ABORTION STUDY;1
SOCIAL ACTIVISMI;;;;1
SOCIAL ANALYSIS;;;;1
SOCIAL CLASS;;;;1
SOCIAL EGG;;;;1
SOCIAL EMBODIMENT;;;;1
SOCIAL IDENTITY;;;;1
SOCIAL INEQUALITIES;;;EQUITY ADDRESSING;1
SOCIAL INEQUITIES;;;EQUITY ADDRESSING;1
SOCIAL INJUSTICE;;;;1
SOCIAL ISSUES;;;;1
SOCIAL MEANING;;;;1
SOCIAL MOVEMENTS;;;;1
SOCIAL PROCESS;;;;1
SOCIAL REALISM;;;;1
SOCIAL SAFETY;;;;1
SOCIAL SERVICES;;;;1
SOCIAL STUDY;;;;1
SOCIAL THEORY;;;;1
SOCIAL WELFARE;;;;1
SOCIOCULTURAL CONTEXT;;;;1
SOCIO-CULTURAL RISK;;;;1
SOCIOECONOMIC DISADVANTAGE;;;;1
SOCIOECONOMIC STRESSES;;;;1
SOCIOECONOMIC TRENDS;;;;1
SOCIO-LEGAL POLICIES;;;;1
SOFT STERILIZATION;;;;1
SOLIDARITY DIMENSIONS;;;;1
SOLIDARITY PERFORMING;;;;1
SOLUTIONS GROUNDED;;;;1
SOUTH CAROLINA;;;;1
SOUTHERN AFRICAN;;;;1
SOUTHERN METHODIST;;;;1
SPANISH ACTIVISM;;;;1
SPANISH ROMA;;;;1
SPATIAL CONSEQUENCES;;;;1
SPATIAL IMAGINATION;;;;1
SPATIAL READING;;;;1
SPATIALIZED INTERSECTIONALITY;;;;1
SPATIALIZING ABORTION;;;ABORTION STUDY;1
SPECIFIC PERINATAL;;;;1
SPERM DONORS;;;;1
SPORT BELONGS;;;;1
SPORT STAKEHOLDERS;;;;1
SPOT ANTI-MULLERIAN;;;;1
SRHR POLICIES;;;;1
ST CENTURY;;;;1
ST JOHN;;;;1
STAGE-BASED IMPLEMENTATION;;;;1
STAKEHOLDER PERSPECTIVES;;;;1
STANDARD MEDICAL;;;;1
STATUS MIGRANTS;;;;1
STERILISATIONS TARGETED;;;;1
STERILIZATION BIRTH;;;;1
STERILIZATION LONG-ACTING;;;;1
STERILIZATION OBTAINMENT;;;;1
STERILIZING BODY-TERRITORIES;;;;1
STEVIE MERINO;;;;1
STI PREVENTION;;;;1
STIGMA IMAGINED;;;;1
STIGMA INTERROGATING;;;;1
STORY DOESNT;;;;1
STORY INTENDED;;;;1
STORYTELLING FAMILY;;;;1
STRATEGIC ADVOCACY;;;;1
STRATEGIC IGNORANCE;;;;1
STRATEGIES RESISTANCES;;;;1
STRATEGY MORALITY;;;;1
STRATIFICATION LESSONS;;;;1
STRIKE MOBILIZING;;;;1
STRUCTURAL APPROACH;;;;1
STRUCTURAL BARRIER;;;;1
STRUCTURAL BARRIERS;;;;1
STRUCTURAL COMPETENCY;;;;1
STRUCTURAL FACTORS;;;;1
STRUCTURAL INEQUALITIES;;;EQUITY ADDRESSING;1
STRUCTURAL INEQUITIES;;;EQUITY ADDRESSING;1
STRUCTURAL INEQUITY;;;EQUITY ADDRESSING;1
STRUCTURAL INFERTILITY;;;;1
STRUCTURALLY COMPETENT;;;;1
STUDENT PERCEPTIONS;;;EDUCATION FRAMEWORK;1
STUDENTS KNOWLEDGE;;;EDUCATION FRAMEWORK;1
STUDENTS SEXUAL;;;EDUCATION FRAMEWORK;1
STUDIES CLASSROOM;;;EDUCATION FRAMEWORK;1
STUDY APPLYING;;;;1
STUDY WOMEN;;;;1
SUBDERMAL IMPLANT;;;;1
SUBJECTIVITY ASSERTIONS;;;;1
SUBVERSIVE ACTS;;;;1
SUBVERSIVE EPIDEMIOLOGY;;;;1
SUCCESSES FAILURES;;;;1
SUFFRAGE HEALTH;;;;1
SUGAMMADEX ANESTHESIA;;;;1
SUPPLEMENTATION ETHICS;;;ETHICAL ISSUES;1
SUPPORT ADOLESCENT;;;ADDRESSING TEENAGE;1
SUPPORT ADOLESCENTS;;;ADDRESSING TEENAGE;1
SUPPORT INDIGENOUS;;;;1
SUPPORT NETWORKS;;;;1
SUPPORT POSTPARTUM;;;REPRODUCTIVE HEALTH;1
SUPPORT PREGNANT;;;REPRODUCTIVE HEALTH;1
SUPPORT REPRODUCTIVE;;;REPRODUCTIVE HEALTH;1
SUPPORT WORKERS;;;;1
SUPPORTABILITY REPARATIVE;;;;1
SUPPORTING ABORTION;;;ABORTION STUDY;1
SUPPORTING ADOLESCENT;;;ADDRESSING TEENAGE;1
SUPPORTING BREASTFEEDING;;;REPRODUCTIVE HEALTH;1
SUPPORTING CRITICAL;;;;1
SUPPORTING INTELLECTUALLY;;;;1
SURGICAL PATIENT;;;;1
SURROGACY BANS;;;;1
SURROGACY BIOMARKETS;;;;1
SURROGACY CLAIMS;;;;1
SURROGACY CONFLICTING;;;;1
SURROGACY JOURNEYS;;;;1
SURROGACY LA;;;;1
SURROGACY RELATIONSHIPS;;;;1
SURVEY DATA;;1;;1
SURVEY STUDY;;1;;1
SURVIVALQUEER REPRODUCTIVE;;;;1
SUSTAINABLE CROSS-CULTURAL;;;;1
SUSTAINABLE DEVELOPMENT;;;;1
SUSTAINED COMMITMENT;;;;1
SUSTAINING OUTRAGE;;;;1
SWEDEN PLANNING;;;;1
SWEDISH FAMILY;;;;1
SWIMMING LEARNING;;;;1
SYMPOETIC SCHOLARSHIP;;;;1
SYRIAN REFUGEES;;;;1
SYSTEMATICALLY UNDERREPRESENTED;;;;1
SYSTEMIC INEQUITIES;;;EQUITY ADDRESSING;1
SYSTEMS ANALYSES;;;;1
SYSTEMS CRIMINALIZE;;;;1
SYSTEMS THINKING;;;;1
TABOO TOPICS;;;;1
TACKLING SYSTEMIC;;;;1
TAKATA WAHINE;;;;1
TAKING MATTERS;;;;1
TALKING CURE;;;;1
TAMARIKI PRACTICE;;;;1
TAMING BODIES;;;;1
TEÓRICO-POLÍTICOS ACIRRADOS;CARACTER ESPECIAL;;;1
TEACHING DOBBS;;;EDUCATION FRAMEWORK;1
TEACHING HEALTH;;;EDUCATION FRAMEWORK;1
TEACHING SOCIAL;;;EDUCATION FRAMEWORK;1
TEACHING TABOO;;;EDUCATION FRAMEWORK;1
TEAM-FACING MEDICAL-LEGAL;;;;1
TEARS REPRODUCTIVE;;;;1
TECHNOFEMINIST INTERVENTION;;;;1
TECHNOLOGIES COMPANIES;;;;1
TECHNOLOGIES MATTERS;;;;1
TECHNOLOGIES REPORT;;;;1
TECHNOLOGY APPLYING;;;;1
TECHNOLOGY CHALLENGES;;;;1
TECHNOSCIENTIFIC HEALTHISM;;;;1
TEENAGE CHILDBEARING;;;ADDRESSING TEENAGE;1
TEENAGE PARENTS;;;ADDRESSING TEENAGE;1
TEENAGE PREGNANCY;;;ADDRESSING TEENAGE;1
TELEMEDICINE ABORTION;;;ABORTION STUDY;1
TEMPORAL INFOVEILLANCE;;;;1
TERFISM ZIONISM;;;;1
TERRY MCGOVERN;;;;1
TESTING ABORTION;;;ABORTION STUDY;1
TESTING CHALLENGES;;;;1
TEUBNER FEMINISTINNEN;;;;1
TEUBNERS ANONYMOUS;;;;1
TEXAS HOSPITALS;;;;1
TEXT MINING;;;;1
THAI TRANSMAN;;;;1
THEOLOGY ENHANCES;;;;1
THEORETICAL FRAME;;;THEORETICAL FRAME;1
THEORETICAL MODEL;;;THEORETICAL FRAME;1
THEORIES FIRSHT;;;;1
THEORY BUILDING;;;;1
THEORY SANTIAGO;;;;1
THEORY-BASED FORMATIVE;;;;1
THEORY-BASED INTERACTIVE;;;;1
THINKING TRANSNATIONALLY;;;;1
THREAT MULTIPLIER;;;;1
TIERED-EFFECTIVENESS CONTRACEPTIVE;;;;1
TIGER FLU;;;;1
TIMETHE DOCUMENTARY;;;;1
TIMORESE WOMEN;;;;1
TONI MORRISON;;;;1
TOOLKIT APPROACH;;;;1
TOPICS MENSTRUATION;;;;1
TORONTO CANADA;;;;1
TORTURED BODIES;;;;1
TOTAL ERASURE;;;;1
TOXIC CONTAMINATION;;;ENVIRONMENTAL JUSTICE;1
TOXIC EROTICS;;;;1
TOXIC EXPOSURES;;;ENVIRONMENTAL JUSTICE;1
TOXIC RISKS;;;ENVIRONMENTAL JUSTICE;1
TRACES GLIMPSES;;;;1
TRACING EPISTEMIC;;;;1
TRADITIONAL PRECONCEPTION;;;;1
TRANS ACTIVISM;;;;1
TRANS FEMINISMS;;;;1
TRANS PEOPLES;;;;1
TRANS PREGNANCY;;;;1
TRANS REPRODUCTIVE;;;;1
TRANS RIGHTS;;;;1
TRANSCENDING BORDERS;;;;1
TRANSDISCIPLINARY IMAGINATION;;;;1
TRANSFORM KINSHIP;;;;1
TRANSFORMATIVE INTERSECTIONAL;;;;1
TRANSFORMING PEDIATRIC;;;;1
TRANSGENDER MIGRANT;;;;1
TRANSGENDER REPRODUCTIVE;;;;1
TRANSGENDER SEXUAL;;;;1
TRANSGRESSION REPRODUCTIVE;;;;1
TRANSLATING TRAVESTY;;;;1
TRANSMITTED HIV;;;;1
TRANSNATIONAL BIO-ECONOMIES;;;;1
TRANSNATIONAL COMMENT;;;;1
TRANSNATIONAL COMMERCIAL;;;;1
TRANSNATIONAL FEMINISM;;;;1
TRANSNATIONAL FEMINIST;;;;1
TRANSNATIONAL MOVEMENT;;;;1
TRANSNATIONAL PERSPECTIVE;;;TRANSNATIONAL PERSPECTIVE;1
TRANSNATIONAL PERSPECTIVES;;;TRANSNATIONAL PERSPECTIVE;1
TRANSNATIONAL PERSPECTIVE-TAIWAN;;;TRANSNATIONAL PERSPECTIVE;1
TRANSNATIONAL SOLIDARITY;;;;1
TRANSNATIONALLY REPRODUCTIVE;;;;1
TRANSPLANT RECIPIENTS;;;;1
TRASH REPRODUCING;;;;1
TRAUMA IMMIGRATION;;;;1
TRAUMA KEETOOWAH;;;;1
TRAUMA PRODUCED;;;;1
TRAUMA TRAGEDY;;;;1
TRAVESTY GLOBAL;;;;1
TREATING IMYCOPLASMA;;;;1
TREES IRACE;;;;1
TRIBAL CITIZENSHIP;;;;1
TROUBLESOME REPRODUCTION;;;;1
TRUE CHOICE;;;;1
TRUE CHOICES;;;;1
TRUST BLACK;;;;1
TRUTH COMMISSIONS;;;;1
TUBAL LIGATION;;;;1
TURBULENT ERA;;;;1
TURTLE ISLAND;;;;1
TWENTY-FIRST CENTURIES;;;;1
TWITTER TEMPORAL;;;;1
TWO-SPIRIT TRANS;;;;1
UGLY INCIDENTI;;;;1
UK MATERNITY;;;;1
UK POLICIES;;;;1
ULSTER UNIVERSITY;;;;1
UMA ANÁLISE;CARACTER ESPECIAL;1;;1
UMA PEDAGOGIA;;;;1
UNA SENTENCIA;;;;1
UNAFFORDABLE RIGHTS;;;;1
UNANTICIPATED CONSEQUENCES;;;;1
UNASSISTED CHILDBIRTH;;;;1
UNBORN CHILD;;;;1
UNCERTAIN FUTURES;;;;1
UNCERTAINTY-A QUALITATIVE;;;;1
UNCOVERING REPRODUCTIVE;;;;1
UNDERCOMMONING ANTHROGENESIS;;;;1
UNDERREPRESENTED CHILDBEARING;;;;1
UNDERSTANDING ADOPTION;;;ADOPTION BELONGING;1
UNDERSTANDING BARRIERS;;;;1
UNDERSTANDING CONTEMPORARY;;;;1
UNDERSTANDING EUGENICS;;;;1
UNDERSTANDING GLOBAL;;;;1
UNDERSTANDING HEALTH;;;;1
UNDERSTANDING LATINAS;;;;1
UNDERSTANDING OBSTETRIC;;;;1
UNDERSTANDING WOMENS;;;;1
UNDOCUMENTED IIMMIGRANT;;;;1
UNDOCUMENTED WOMENS;;;;1
UNDOING LEGACIES;;;;1
UNEQUAL BURDENS;;;EQUITY ADDRESSING;1
UNEQUAL REPRODUCTIVE;;;EQUITY ADDRESSING;1
UNEVEN LANDSCAPE;;;;1
UNEXPECTED ABORTION;;;ABORTION STUDY;1
UNFINISHED BUSINESS;;;;1
UNFINISHED REVOLUTION;;;;1
UNFOLDING BIRTH;;;;1
UNGLEICHHEITEN ZWISCHEN;;;;1
UNHEROIC REPRODUCTIVE;;;;1
UNHOUSED WOMEN;;;;1
UNIFIED HEALTH;;;HEALTH ISSUE;1
UNIVERSAL HEALTH;;;HEALTH ISSUE;1
UNIVERSITY NORTHERN;;;;1
UNLAWFUL BARRIER;;;CRIMINAL JUSTICE;1
UNMAPPABLE UNGOVERNABLE;;;;1
UNMET EXPECTATIONS;;;;1
UNPACKING INTERSECTIONAL;;;;1
UN-PRESENTABLE ANNIE;;;;1
UNREGULATED SPERM;;;;1
UNRULY UNMAPPABLE;;;;1
UNSAFE ABORTION;;;ABORTION STUDY;1
UPROOTING RACE;;;;1
URBAN CHINA;;;;1
URBAN SETTLEMENTS;;;;1
URBAN WOMEN;;;;1
URUGUAY MATERNAL;;;;1
URUGUAY RESULTADOS;;;;1
US-MEXICO BORDERLANDS;;;;1
UTAH COHORT;;;;1
UTERINE GEOGRAPHY;;;;1
UTERINE VIOLENCE;;;;1
UTERUS COLLECTORS;;;;1
UTERUS TRANSPLANT;;;;1
UTILIZING MARGARET;;;;1
UTOPIAS REALI;;;;1
VACCINE REFUSAL;;;;1
VALUING REPRODUCTIVE;;;;1
VANISHING WORLD;;;;1
VARIATIONS INTERSEX;;;;1
VERBAL DISRESPECT;;;;1
VERSUS LIBERAL;;;;1
VERSUS STANDARD;;;;1
VERY-LOW-BIRTHWEIGHT INFANTS;;;;1
VIEW WOMEN;;;;1
VIEWPOINT NARRATIVE;;1;;1
VIEWS RECOGNIZING;;;;1
VIOLATING REPRODUCTIVE;;;;1
VIOLENCE BODY-TALK;;;;1
VIOLENCE EXCEPTIONALISM;;;;1
VIOLENCE FINDINGS;;;;1
VIOLENCE GENDERED;;;;1
VIOLENCE GOTHIC;;;;1
VIOLENCE INFORMS;;;;1
VIOLENCE REPRODUCTIVE;;;;1
VIOLENCE RIGHTS;;;;1
VIOLENCE TRAUMA;;;;1
VIOLENCE VICTIMIZATION;;;;1
VIOLENT LEGACY;;;;1
VIRUS PANDEMIC;;;COVID- PANDEMIC;1
VIS-À-VIS ABORTION;CARACTER ESPECIAL;;ABORTION STUDY;1
VISIÓN DE;CARACTER ESPECIAL;;;1
VISIONING FORWARD;;;;1
VISUAL ACTIVISM;;;;1
VISUAL RHETORICS;;;;1
VISUALIZING BIRTH;;;;1
VISUALIZING PATTERNS;;;;1
VITAL CONDITIONS;;;;1
VIVIENNE FRANZMANNS;;;;1
VOICES RECOMMENDATIONS;;;;1
VOICING WOMENS;;;;1
VOLUNTARY STERILIZATION;;;;1
VOLUNTEER BIRTH;;;;1
VULNERABILISING CONTEXTS;;;;1
VULNERABLE WOMENS;;;;1
VULNERABLE YOUTH;;;ADDRESSING TEENAGE;1
WADE AOTEAROA;;;;1
WADE ERA;;;;1
WAIT EXPERIENCES;;;;1
WAITING PERIOD;;;;1
WARDS LITERARY;;;;1
WASHINGTON DC;;;;1
WATER HUMAN;;;;1
WATER SUGGESTIONS;;;;1
WEAK RESISTANCE;;;;1
WEEKS GESTATION;;;;1
WEIGHT RETENTION;;;;1
WELFARE ACT;;;;1
WELFARE PROGRAMS;;;;1
WEST GERMANY;;;;1
WESTERN COUNTRIES;;;;1
WESTERN KENYA;;;;1
WESTERN UGANDA;;;;1
WHATS CHOICE;;;;1
WHITE EVANGELICAL;;;;1
WHITE FEMINIST;;;;1
WHITE LADY;;;;1
WHITE PRIVILEGE;;;;1
WHOLLY INHABIT;;;;1
WIEDERHERSTELLUNG DER;;;;1
WINDERMERE BASIN;;;;1
WISELY PARALLELING;;;;1
WITHDRAW CONSENT;;;;1
WITHDRAWAL EXPERIENCES;;;;1
WITNESS OBSTETRIC;;;;1
WOMAN CARD;;;;1
WOMANHOOD PUSSYHATS;;;;1
WOMANS HEALTH;;;;1
WOMB CONVERGING;;;;1
WOMB SAFE;;;;1
WOMBS FROZEN;;;;1
WOMEN ABORTION;;;ABORTION STUDY;1
WOMEN ACHIEVE;;;;1
WOMEN AGING;;;;1
WOMEN BIRTH;;;;1
WOMEN BUILT;;;;1
WOMEN CAMPAIGN;;;;1
WOMEN DESERVE;;;;1
WOMEN FARMWORKERS;;;;1
WOMEN IMPLICATIONS;;;;1
WOMEN KILLING;;;;1
WOMEN KINSHIP;;;;1
WOMEN LESBIAN;;;;1
WOMEN NAVIGATE;;;;1
WOMEN PREGNANCY;;;;1
WOMEN PREGNANT;;;;1
WOMEN PREVALENCE;;;;1
WOMEN QUARTERLYI;;;;1
WOMEN RELIGIOUS;;;;1
WOMEN RURAL;;;;1
WOMEN SEEKING;;;;1
WOMEN SEX;;;;1
WOMEN TAMING;;;;1
WOMEN TWO-SPIRIT;;;;1
WOMEN UNDERSTANDING;;;;1
WOMEN-CENTERED ANTI-ABORTION;;;ABORTION STUDY;1
WOMENS ABORTION;;;ABORTION STUDY;1
WOMENS ACCESS;;;;1
WOMENS BELIEFS;;;;1
WOMENS CHRISTIAN;;;;1
WOMENS DIGITAL;;;;1
WOMENS EXPERIMENTAL;;;;1
WOMENS FERTILITY;;;;1
WOMENS FICTION;;;;1
WOMENS FIGHT;;;;1
WOMENS LANGUAGE;;;;1
WOMENS LIVED;;;;1
WOMENS LIVES;;;;1
WOMENS MEMOIRS;;;;1
WOMENS MENTAL;;;;1
WOMENS MOTIVATIONS;;;;1
WOMENS MOVEMENT;;;;1
WOMENS NARRATIVES;;;;1
WOMENS NATIONAL;;;;1
WOMENS PERCEIVED;;;;1
WOMENS PERCEPTIONS;;;;1
WOMENS PERSPECTIVES;;;;1
WOMENS POSTPARTUM;;;;1
WOMENS PREGNANCY;;;;1
WOMENS RESISTANCE;;;;1
WOMENS STUDIES;;;;1
WOMENS SUFFRAGE;;;;1
WOMENS WRITING;;;;1
WONT HAPPEN;;;;1
WORD ASSESSING;;;;1
WORKERS REFLECTIONS;;;;1
WORLD DYSTOPIA;;;;1
WORLD SUFFERING;;;;1
WORLD TEAM-FACING;;;;1
WORLDS WOMEN;;;;1
WRONG REPRODUCTIVE;;;;1
WRONGFUL BIRTH;;;;1
WROUGHT ABORTION;;;;1
YA-FEMINIST STRATEGIES;;;;1
YOUTH CAPTURED;;;ADDRESSING TEENAGE;1
YOUTH EXPERIENCING;;;ADDRESSING TEENAGE;1
YOUTH GENDER;;;ADDRESSING TEENAGE;1
YOUTH ORGANIZING;;;ADDRESSING TEENAGE;1
YOUTH REPRODUCTIVE;;;ADDRESSING TEENAGE;1
YOUTHS POLITICAL;;;ADDRESSING TEENAGE;1
YOUTUBE DOCUMENTARIES;;;;1
ZEALAND FINDINGS;;;;1
ZEALAND-A VIEWPOINT;;;;1
ZIKA CRISIS;;;ZIKA VIRUS;1
ZIKA EPIDEMIC;;;ZIKA VIRUS;1
ZIMBABWEAN WOMENS;;;;1
ZWISCHEN DEN;;;;1
