"SR";"TI";"TI_TM"
"DUTTA D, 2022, GLOB PUBLIC HEALTH";"(RE)IMAGINING RESEARCH, ACTIVISM, AND RIGHTS AT THE INTERSECTIONS OF SEXUALITY, HEALTH, AND SOCIAL JUSTICE";"REIMAGINING RESEARCH;RESEARCH ACTIVISM;SEXUALITY HEALTH;SOCIAL JUSTICE"
"DWAN RL, 2021, ANESTH ANALG";"UNANTICIPATED CONSEQUENCES OF SWITCHING TO SUGAMMADEX: ANESTHESIA PROVIDER SURVEY ON THE HORMONE CONTRACEPTIVE DRUG INTERACTION";"UNANTICIPATED CONSEQUENCES;SUGAMMADEX ANESTHESIA;ANESTHESIA PROVIDER;PROVIDER SURVEY;HORMONE CONTRACEPTIVE;CONTRACEPTIVE DRUG;DRUG INTERACTION"
"DYER RL, 2023, PSYCHOL WOMEN Q";"ABORTION DECISIONS AS HUMANIZING ACTS: THE APPLICATION OF AMBIVALENT SEXISM AND OBJECTIFICATION TO WOMEN-CENTERED ANTI-ABORTION RHETORIC";"ABORTION DECISIONS;HUMANIZING ACTS;AMBIVALENT SEXISM;WOMEN-CENTERED ANTI-ABORTION;ANTI-ABORTION RHETORIC"
"DÜIGNAZIO C, 2024, GOOD Robot. WHY Technol. NEEDS Fem.";"GOOD TECHNOLOGY CHALLENGES POWER";"TECHNOLOGY CHALLENGES;CHALLENGES POWER"
"EARL J, 2022, BIOETHICS";"AGAINST PROCREATIVE MORAL RIGHTS";"PROCREATIVE MORAL;MORAL RIGHTS"
"EATON AA, 2020, J SOC ISSUES";"REPRODUCTIVE JUSTICE SPECIAL ISSUE INTRODUCTION ``REPRODUCTIVE JUSTICE: MOVING THE MARGINS TO THE CENTER IN SOCIAL ISSUES RESEARCH''";"REPRODUCTIVE JUSTICE;JUSTICE SPECIAL;SPECIAL ISSUE;ISSUE INTRODUCTION;INTRODUCTION REPRODUCTIVE;REPRODUCTIVE JUSTICE;JUSTICE MOVING;SOCIAL ISSUES;ISSUES RESEARCH"
"EBERHARDT M, 2023, GEND LANG";"THE SOCIAL MEANING OF ABORTION AND THE PERILS OF A NEOLIBERAL RIGHTS-BASED DISCOURSE";"SOCIAL MEANING;NEOLIBERAL RIGHTS-BASED;RIGHTS-BASED DISCOURSE"
"EDDINS C, 2020, GEND HIST";"`REJOICE! YOUR WOMBS WILL NOT BEGET SLAVES!' MARRONNAGE AS REPRODUCTIVE JUSTICE IN COLONIAL HAITI";"BEGET SLAVES;SLAVES MARRONNAGE;REPRODUCTIVE JUSTICE;COLONIAL HAITI"
"EDGAR EAE, 2022, PALGRAVE Handb. Reprod. Justice Lit.";"RE-CONCEIVING THE WORLD: DYSTOPIA AND REPRODUCTIVE JUSTICE";"WORLD DYSTOPIA;REPRODUCTIVE JUSTICE"
"EDU U, 2023, Companion Anthropol. Reprod. Med. Technol.";"RACE, RACISM, AND REPRODUCTIVE JUSTICE";"RACE RACISM;REPRODUCTIVE JUSTICE"
"EDWARDS R, 2024, JBI EVID SYNTH";"SUPPORT AND SERVICES AVAILABLE TO AT-RISK MOTHERS AND THEIR CHILDREN IN MATERNITY RESIDENCES: A SCOPING REVIEW PROTOCOL";"AT-RISK MOTHERS;MATERNITY RESIDENCES;SCOPING REVIEW;REVIEW PROTOCOL"
"EECKHAUT MCW, 2023, SOCIUS";"REPRODUCTIVE OPPRESSION ENTERS THE TWENTY-FIRST CENTURY: PRESSURE TO USE LONG-ACTING REVERSIBLE CONTRACEPTION (LARC) IN THE CONTEXT OF ``LARC FIRST''";"REPRODUCTIVE OPPRESSION;OPPRESSION ENTERS;TWENTY-FIRST CENTURY;CENTURY PRESSURE;LONG-ACTING REVERSIBLE;REVERSIBLE CONTRACEPTION;CONTRACEPTION LARC"
"EGER H, 2024, PLOS Glob. Public Health";"TOWARDS A FEMINIST GLOBAL HEALTH POLICY: POWER, INTERSECTIONALITY, AND TRANSFORMATION";"FEMINIST GLOBAL;GLOBAL HEALTH;HEALTH POLICY;POLICY POWER;POWER INTERSECTIONALITY"
"EJIOGU LR, 2021, Int. J. Obstet. Anesth. J. Soc. ISSUES";"ARE WE LISTENING? OBSTETRIC ANESTHESIOLOGY AND THE NATIONAL CALL FOR BIRTH JUSTICE AND ACCOUNTABILITY: A PERSPECTIVE FROM THE UNITED STATES SUBVERTING THE MANDATES OF OUR METHODS: TENSIONS AND CONSIDERATIONS FOR INCORPORATING REPRODUCTIVE JUSTICE FRAMEWORKS INTO PSYCHOLOGICAL SCIENCE";"LISTENING OBSTETRIC;OBSTETRIC ANESTHESIOLOGY;NATIONAL CALL;BIRTH JUSTICE;METHODS TENSIONS;INCORPORATING REPRODUCTIVE;REPRODUCTIVE JUSTICE;JUSTICE FRAMEWORKS;PSYCHOLOGICAL SCIENCE"
"EJIOGU NI, 2021, INT J OBSTET ANESTH";"ARE WE LISTENING? OBSTETRIC ANESTHESIOLOGY AND THE NATIONAL CALL FOR BIRTH JUSTICE AND ACCOUNTABILITY: A PERSPECTIVE FROM THE UNITED STATES";"LISTENING OBSTETRIC;OBSTETRIC ANESTHESIOLOGY;NATIONAL CALL;BIRTH JUSTICE"
"EL-MOWAFI IM, 2021, REPROD HEALTH";"THE POLITEST FORM OF RACISM: SEXUAL AND REPRODUCTIVE HEALTH AND RIGHTS PARADIGM IN CANADA";"POLITEST FORM;RACISM SEXUAL;REPRODUCTIVE HEALTH;RIGHTS PARADIGM"
"ELLIOT R, 2020, GEND HIST";"INTRODUCTION: GENDER AND REPRODUCTION";"INTRODUCTION GENDER"
"ELY GE, 2020, SOC WORK HEALTH CARE";"CONTRACEPTIVE USE IN APPALACHIAN WOMEN WHO USE DRUGS AND WERE RECRUITED FROM RURAL JAILS";"APPALACHIAN WOMEN;RURAL JAILS"
"ENCK SM, 2022, Q J SPEECH";"PRIVACY, PRECARITY, AND POLITICAL CHANGE: CONNECTING GENDERED VIOLENCE TO REPRODUCTIVE INJUSTICE";"PRIVACY PRECARITY;POLITICAL CHANGE;CHANGE CONNECTING;CONNECTING GENDERED;GENDERED VIOLENCE;REPRODUCTIVE INJUSTICE"
"ENGLE O, 2022, GEOGR COMPASS";"ABORTION MOBILITIES";"ABORTION MOBILITIES"
"ERTL MM, 2024, J LESBIAN STUD";"SEXUAL AND REPRODUCTIVE JUSTICE AND HEALTH EQUITY FOR LGBTQ+ WOMEN";"REPRODUCTIVE JUSTICE;HEALTH EQUITY;LGBTQ WOMEN"
"ESCOBAR M, 2019, J MIDWIFERY WOMEN HEALTH";"MIDWIFERY ROLE IN THE PROVISION OF IMMEDIATE POSTPARTUM LONG-ACTING REVERSIBLE CONTRACEPTION: ENSURING REPRODUCTIVE JUSTICE";"MIDWIFERY ROLE;POSTPARTUM LONG-ACTING;LONG-ACTING REVERSIBLE;REVERSIBLE CONTRACEPTION;CONTRACEPTION ENSURING;ENSURING REPRODUCTIVE;REPRODUCTIVE JUSTICE"
"ESCOBAR-BALLESTA 2019 GACETA SANITARIA";"Salud sexual y reproductiva en mujeres gitanas: el programa de planificación familiar del Polígono Sur";"SALUD SEXUAL;REPRODUCTIVA EN;EN MUJERES;MUJERES GITANAS;GITANAS EL;EL PROGRAMA;PROGRAMA DE;DE PLANIFICACIÓN;PLANIFICACIÓN FAMILIAR;FAMILIAR DEL;DEL POLÍGONO;POLÍGONO SUR"
"ESCOBAR-BALLESTA M, 2019, GAC SANIT";"SEXUAL AND REPRODUCTIVE HEALTH IN ROMA WOMEN: THE FAMILY PLANNING PROGRAMME OF POLIGONO SUR IN SEVILLE (SPAIN)";"REPRODUCTIVE HEALTH;ROMA WOMEN;FAMILY PLANNING;PLANNING PROGRAMME;POLIGONO SUR;SEVILLE SPAIN"
"ESCUDERO K, 2020, ORGANIZING WHILE UNDOCUMENTED: IMMIGRANT YOUTH'S POLITICAL ACTIVISM UNDER THE LAW-a";"ORGANIZING WHILE UNDOCUMENTED <I>IMMIGRANT YOUTH'S POLITICAL ACTIVISM UNDER THE LAW</I> INTRODUCTION";"UNDOCUMENTED IIMMIGRANT;IIMMIGRANT YOUTHS;YOUTHS POLITICAL;POLITICAL ACTIVISM;LAWI INTRODUCTION"
"ESPEY E, 2023, AM J OBSTET GYNECOL";"NOW IS THE TIME TO STAND UP FOR REPRODUCTIVE JUSTICE AND ABORTION ACCESS";"REPRODUCTIVE JUSTICE;ABORTION ACCESS"
"ESTRIPLET T, 2022, FRONT PSYCHIATRY";"BLACK PERINATAL MENTAL HEALTH: PRIORITIZING MATERNAL MENTAL HEALTH TO OPTIMIZE INFANT HEALTH AND WELLNESS";"BLACK PERINATAL;PERINATAL MENTAL;MENTAL HEALTH;HEALTH PRIORITIZING;PRIORITIZING MATERNAL;MATERNAL MENTAL;MENTAL HEALTH;OPTIMIZE INFANT;INFANT HEALTH"
"EVANS DP, 2023, SEX REPROD HLTH MATTERS";"``<I>A DAILY REMINDER OF AN UGLY INCIDENT</I> <I> HORIZONTAL ELLIPSIS </I>'': ANALYSIS OF DEBATE ON RAPE AND INCEST EXCEPTIONS IN EARLY ABORTION BAN LEGISLATION IN SIX STATES IN THE SOUTHERN US";"IA DAILY;DAILY REMINDER;UGLY INCIDENTI;HORIZONTAL ELLIPSIS;INCEST EXCEPTIONS;ABORTION BAN;BAN LEGISLATION"
"FALU N, 2023, Companion Anthropol. Reprod. Med. Technol.";"QUEER REPRODUCTIVE FUTURES";"QUEER REPRODUCTIVE;REPRODUCTIVE FUTURES"
"FANNIN M, 2019, BODY SOC";"LABOUR PAIN, `NATAL POLITICS' AND REPRODUCTIVE JUSTICE FOR BLACK BIRTH GIVERS";"LABOUR PAIN;PAIN NATAL;NATAL POLITICS;REPRODUCTIVE JUSTICE;BLACK BIRTH;BIRTH GIVERS"
"FAST J, 2024, HYPATIA";"THE POLITICS OF DOULAS: BLACK FEMINIST COLLECTIVE ACTION IN RESPONSE TO ``BIRTHING WHILE BLACK''";"DOULAS BLACK;BLACK FEMINIST;FEMINIST COLLECTIVE;COLLECTIVE ACTION"
"FERNANDEZ ROMERO F, 2020, INT J TRANSGENDER HEALTH";"``WE CAN CONCEIVE ANOTHER HISTORY'': TRANS ACTIVISM AROUND ABORTION RIGHTS IN ARGENTINA";"HISTORY TRANS;TRANS ACTIVISM;ABORTION RIGHTS"
"FERRER MR, 2022, PALGRAVE Handb. Reprod. Justice Lit.";"SPAIN AND STRUCTURAL INFERTILITY: TOWARDS AN INTEGRATIVE VISION OF MOTHERHOOD IN THE NOVEL QUIÉN QUIERE SER MADRE BY SILVIA NANCLARES";"STRUCTURAL INFERTILITY;INTEGRATIVE VISION;QUIÉN QUIERE;QUIERE SER;SER MADRE;SILVIA NANCLARES"
"FINKBEINER C, 2021, OBSTET GYNECOL";"CHANGING OBSTETRICS AND GYNECOLOGY RESIDENCY EDUCATION TO COMBAT REPRODUCTIVE INJUSTICE <I>A CALL TO ACTION</I>";"CHANGING OBSTETRICS;GYNECOLOGY RESIDENCY;RESIDENCY EDUCATION;COMBAT REPRODUCTIVE;REPRODUCTIVE INJUSTICE;INJUSTICE IA;IA CALL"
"FITZSIMONS C, 2022, STUD EDUC ADULTS-NIACE";"CRITICAL EDUCATION IN THE IRISH REPEAL MOVEMENT";"CRITICAL EDUCATION;IRISH REPEAL;REPEAL MOVEMENT"
"FIXMER-ORAIZ N, 2020, ROUTLEDGE COMPANION TO MOTHERHOOD";"MOTHERHOOD AND THE STRUGGLE FOR REPRODUCTIVE JUSTICE";"REPRODUCTIVE JUSTICE"
"FIXMER-ORAIZ N, 2022, Q J SPEECH";"NO GOING BACK: THE STRUGGLE FOR A POST-<I>ROE</I> REPRODUCTIVE JUSTICE";"POST-IROEI REPRODUCTIVE;REPRODUCTIVE JUSTICE"
"FIXMER-ORAIZ N, 2023, Rhetor. Health Med.";"“REDEFINING OUR OWN CENTER” AN INTERVIEW WITH STEVIE MERINO";"STEVIE MERINO"
"FLEDDERJOHANN J, 2023, INT J SEX HEALTH";"FOOD INSECURITY: A BARRIER TO REPRODUCTIVE JUSTICE GLOBALLY";"FOOD INSECURITY;REPRODUCTIVE JUSTICE;JUSTICE GLOBALLY"
"FLEMING PJ, 2019, PLOS ONE";"<I>I</I>'<I>M GOING TO LOOK FOR YOU AND TAKE YOUR KIDS</I>': REPRODUCTIVE JUSTICE IN THE CONTEXT OF IMMIGRATION ENFORCEMENT";"KIDSI REPRODUCTIVE;REPRODUCTIVE JUSTICE;IMMIGRATION ENFORCEMENT"
"FLETCHER J, 2023, WOMENS HEALTH";"CENTERING DISABILITY VISIBILITY IN REPRODUCTIVE HEALTH CARE: DISMANTLING BARRIERS TO ACHIEVE REPRODUCTIVE EQUITY";"CENTERING DISABILITY;DISABILITY VISIBILITY;REPRODUCTIVE HEALTH;HEALTH CARE;CARE DISMANTLING;DISMANTLING BARRIERS;ACHIEVE REPRODUCTIVE;REPRODUCTIVE EQUITY"
"FLETCHER R, 2018, FEM LEG STUD";"\#REPEALEDTHE8TH: TRANSLATING TRAVESTY, GLOBAL CONVERSATION, AND THE IRISH ABORTION REFERENDUM";"REPEALEDTHETH TRANSLATING;TRANSLATING TRAVESTY;TRAVESTY GLOBAL;GLOBAL CONVERSATION;IRISH ABORTION;ABORTION REFERENDUM"
"FLETCHER R, 2020, FEM REV";"CHEEKY WITNESSING";"CHEEKY WITNESSING"
"FLOWERS N, 2024, J FAM THEORY REV";"A REPRODUCTIVE JUSTICE ANALYSIS OF BLACK MOTHERWORK";"REPRODUCTIVE JUSTICE;JUSTICE ANALYSIS;BLACK MOTHERWORK"
"FLOWERS SC, 2018, MERIDIANS";"ENACTING OUR MULTIDIMENSIONAL POWER: BLACK WOMEN SEX EDUCATORS DEMONSTRATE THE VALUE OF AN INTERSECTIONAL SEXUALITY EDUCATION FRAMEWORK";"MULTIDIMENSIONAL POWER;POWER BLACK;BLACK WOMEN;WOMEN SEX;SEX EDUCATORS;EDUCATORS DEMONSTRATE;INTERSECTIONAL SEXUALITY;SEXUALITY EDUCATION;EDUCATION FRAMEWORK"
"FLOYD S, 2020, OBSTET GYNECOL CLIN N AM";"POSTPARTUM CONTRACEPTION OPTIONS";"POSTPARTUM CONTRACEPTION;CONTRACEPTION OPTIONS"
"FOLLET JC, 2019, MERIDIANS";"MAKING DEMOCRACY REAL AFRICAN AMERICAN WOMEN, BIRTH CONTROL, AND SOCIAL JUSTICE, 1910-1960";"DEMOCRACY REAL;REAL AFRICAN;AFRICAN AMERICAN;AMERICAN WOMEN;WOMEN BIRTH;BIRTH CONTROL;SOCIAL JUSTICE"
"FOLTZ MC, 2021, Trauma Mother. Contemp. Lit. Cult.";"SALVAGING THE BONES MEANS FIGHTING FOR REPRODUCTIVE JUSTICE: JESMYN WARD'S LITERARY REPRESENTATIONS OF THE TRAUMA PRODUCED BY ATTACKS ON REPRODUCTIVE RIGHTS, COMPREHENSIVE SEX EDUCATION, AND ACCESS TO MATERNAL HEALTH CARE";"BONES MEANS;MEANS FIGHTING;REPRODUCTIVE JUSTICE;JUSTICE JESMYN;JESMYN WARDS;WARDS LITERARY;LITERARY REPRESENTATIONS;TRAUMA PRODUCED;REPRODUCTIVE RIGHTS;RIGHTS COMPREHENSIVE;COMPREHENSIVE SEX;SEX EDUCATION;MATERNAL HEALTH;HEALTH CARE"
"FOLTZ MC, 2022, PALGRAVE Handb. Reprod. Justice Lit.";"QUEER ARGONAUTS FOR REPRODUCTIVE JUSTICE";"QUEER ARGONAUTS;REPRODUCTIVE JUSTICE"
"FONSECA 2023 REVISTA DEL MUSEO DE ANTROPOLOGÍA";"Maternidades prohibidas: La (in)justicia reproductiva en circunstancias de desigualdad radical";"MATERNIDADES PROHIBIDAS;PROHIBIDAS LA;LA INJUSTICIA;INJUSTICIA REPRODUCTIVA;REPRODUCTIVA EN;EN CIRCUNSTANCIAS;CIRCUNSTANCIAS DE;DE DESIGUALDAD;DESIGUALDAD RADICAL"
"FONSECA C, 2023, Rev. DEL Mus. Antropol.";"INTERDICTED MATERNITY: REPRODUCTIVE (IN)JUSTICE IN CIRCUMSTANCES OF RADICAL INEQUALITY; [MATERNIDADES PROHIBIDAS: LA (IN)JUSTICIA REPRODUCTIVA EN CIRCUNSTANCIAS DE DESIGUALDAD RADICAL]";"INTERDICTED MATERNITY;MATERNITY REPRODUCTIVE;REPRODUCTIVE INJUSTICE;RADICAL INEQUALITY;INEQUALITY MATERNIDADES;MATERNIDADES PROHIBIDAS;PROHIBIDAS LA;LA INJUSTICIA;INJUSTICIA REPRODUCTIVA;REPRODUCTIVA EN;EN CIRCUNSTANCIAS;CIRCUNSTANCIAS DE;DE DESIGUALDAD;DESIGUALDAD RADICAL"
"FORD CL, 2022, ETHN DIS";"MATERNAL AND INFANT HEALTH INEQUITIES, REPRODUCTIVE JUSTICE AND COVID ADDRESSED IN RACE SERIES";"INFANT HEALTH;HEALTH INEQUITIES;INEQUITIES REPRODUCTIVE;REPRODUCTIVE JUSTICE;COVID ADDRESSED;RACE SERIES"
"FORTUNA LR, 2019, INFANT MENT HEALTH J";"TRAUMA, IMMIGRATION, AND SEXUAL HEALTH AMONG LATINA WOMEN: IMPLICATIONS FOR MATERNAL-CHILD WELL-BEING AND REPRODUCTIVE JUSTICE";"TRAUMA IMMIGRATION;SEXUAL HEALTH;LATINA WOMEN;WOMEN IMPLICATIONS;MATERNAL-CHILD WELL-BEING;REPRODUCTIVE JUSTICE"
"FOX D, 2023, GEORGET LAW J";"VALUING REPRODUCTIVE LOSS";"VALUING REPRODUCTIVE;REPRODUCTIVE LOSS"
"FOX KR, 2024, MATERN CHILD HEALTH J";"PATIENT BARRIERS TO DISCONTINUING LONG-ACTING REVERSIBLE CONTRACEPTION";"PATIENT BARRIERS;DISCONTINUING LONG-ACTING;LONG-ACTING REVERSIBLE;REVERSIBLE CONTRACEPTION"
"FOX P, 2022, PALGRAVE Handb. Reprod. Justice Lit.";"TEACHING REPRODUCTIVE JUSTICE: READING MOTHERHOOD WITH GENERATIONS X, Y, AND Z";"TEACHING REPRODUCTIVE;REPRODUCTIVE JUSTICE;JUSTICE READING;READING MOTHERHOOD"
"FRANCES-GARCIA F, 2024, CHILD SOC";"EMPOWERMENT EVALUATION: KEY METHODOLOGY ASPECTS FROM PARTICIPATORY RESEARCH AND INTERVENTION WITH ROMA GIRLS";"EMPOWERMENT EVALUATION;EVALUATION KEY;KEY METHODOLOGY;METHODOLOGY ASPECTS;PARTICIPATORY RESEARCH;ROMA GIRLS"
"FRANCIS L, 2023, J LAW MED ETHICS";"THE REPRODUCTIVE INJUSTICES OF ABORTION BANS FOR DISABILITY";"REPRODUCTIVE INJUSTICES;ABORTION BANS"
"FREEDMAN L, 2023, BISHOPS AND BODIES: REPRODUCTIVE CARE IN AMERICAN CATHOLIC HOSPITALS";"INFERIOR HOW CATHOLIC DIRECTIVES CONTRADICT MEDICAL STANDARDS";"CATHOLIC DIRECTIVES;DIRECTIVES CONTRADICT;CONTRADICT MEDICAL;MEDICAL STANDARDS"
"FREEMAN C, 2024, ANN AM ASSOC GEOGR";"THE CHEMICAL GEOGRAPHIES OF MISOPROSTOL: SPATIALIZING ABORTION ACCESS FROM THE BIOCHEMICAL TO THE GLOBAL";"CHEMICAL GEOGRAPHIES;MISOPROSTOL SPATIALIZING;SPATIALIZING ABORTION;ABORTION ACCESS"
"FREEMAN C, 2024, INT FEM J POLIT";"THE MAKING OF CLANDESTINITY: ``STRATEGIC IGNORANCE'' IN ABORTION PRACTICES IN LATIN AMERICA";"CLANDESTINITY STRATEGIC;STRATEGIC IGNORANCE;ABORTION PRACTICES;LATIN AMERICA"
"FRIEDMAN M, 2020, Fem. Encount.";"A HIGH-RISK BODY FOR WHOM? ON FAT, RISK, RECOGNITION AND RECLAMATION IN RESTORYING REPRODUCTIVE CARE THROUGH DIGITAL STORYTELLING";"HIGH-RISK BODY;FAT RISK;RISK RECOGNITION;RESTORYING REPRODUCTIVE;REPRODUCTIVE CARE;DIGITAL STORYTELLING"
"FULCHER K, 2021, CAN J HUM SEX";"CONTRACEPTIVE DECISION-MAKING AND PRIORITIES: WHAT HAPPENS BEFORE PATIENTS SEE A HEALTHCARE PROVIDER";"CONTRACEPTIVE DECISION-MAKING;HEALTHCARE PROVIDER"
"FUNNELL L, 2023, Resist. JAMES Bond. Power Privil. DANIEL CRAIG ERA";"RESISTING JAMES BOND: POWER AND PRIVILEGE IN THE DANIEL CRAIG ERA";"RESISTING JAMES;JAMES BOND;BOND POWER;DANIEL CRAIG;CRAIG ERA"
"FUREDI A, 2022, Moral CASE Abort. Def. Reprod. Choice";"THE MORAL CASE FOR ABORTION: A DEFENCE OF REPRODUCTIVE CHOICE";"REPRODUCTIVE CHOICE"
"FURIO F, 2022, EARLY CHILD DEV CARE";"NORMATIVE EXPECTATIONS ON CHILDBEARING: A STUDY OF REPRODUCTIVE JUSTICE";"NORMATIVE EXPECTATIONS;REPRODUCTIVE JUSTICE"
"GAARD G, 2010, ETHICS ENVIRON";"REPRODUCTIVE TECHNOLOGY, OR REPRODUCTIVE JUSTICE? <I>AN ECOFEMINIST, ENVIRONMENTAL JUSTICE PERSPECTIVE ON THE RHETORIC OF CHOICE</I>";"REPRODUCTIVE TECHNOLOGY;REPRODUCTIVE JUSTICE;JUSTICE IAN;IAN ECOFEMINIST;ECOFEMINIST ENVIRONMENTAL;ENVIRONMENTAL JUSTICE;JUSTICE PERSPECTIVE"
"GABORIAU JC, 2022, PALGRAVE Handb. Reprod. Justice Lit.";"BIRTHING BODIES DELIVERING POWER IN ANGLOPHONE LITERATURE OF THE TWENTIETH AND TWENTY-FIRST CENTURIES";"BIRTHING BODIES;BODIES DELIVERING;DELIVERING POWER;ANGLOPHONE LITERATURE;TWENTY-FIRST CENTURIES"
"GAGNON E, 2023, AOTEAROA N Z SOC WORK";"MENSTRUAL CONCEALMENT-''YOU CAN'T JUST PLAY THE WOMAN CARD''";"MENSTRUAL CONCEALMENT-YOU;WOMAN CARD"
"GALARNEAU C, 2013, HEALTH HUM RIGHTS";"FARM LABOR, REPRODUCTIVE JUSTICE: MIGRANT WOMEN FARMWORKERS IN THE US";"FARM LABOR;LABOR REPRODUCTIVE;REPRODUCTIVE JUSTICE;JUSTICE MIGRANT;MIGRANT WOMEN;WOMEN FARMWORKERS"
"GALARZA NEIRA 2020 FORO: REVISTA DE DERECHO";"Ficciones disidentes reescriben la ley: investigación a través del arte sobre biopolítica, derechos de las mujeres y justicia reproductiva en Ecuador";"FICCIONES DISIDENTES;DISIDENTES REESCRIBEN;REESCRIBEN LA;LA LEY;LEY INVESTIGACIÓN;TRAVÉS DEL;DEL ARTE;ARTE SOBRE;SOBRE BIOPOLÍTICA;BIOPOLÍTICA DERECHOS;DERECHOS DE;DE LAS;LAS MUJERES;JUSTICIA REPRODUCTIVA;REPRODUCTIVA EN;EN ECUADOR"
"GALARZA NEIRA MT, 2020, FORO: Rev. Derecho";"DISSENTING FICTION RE-RIGHTING LAW: PRACTICE-LED RESEARCH INTO BIOPOLITICS, WOMEN’S RIGHTS AND REPRODUCTIVE JUSTICE IN ECUADOR; [FICCIONES DISIDENTES REESCRIBEN LA LEY: INVESTIGACIÓN A TRAVÉS DEL ARTE SOBRE BIOPOLÍTICA, DERECHOS DE LAS MUJERES Y JUSTICIA REPRODUCTIVA EN ECUADOR]";"DISSENTING FICTION;FICTION RE-RIGHTING;RE-RIGHTING LAW;LAW PRACTICE-LED;PRACTICE-LED RESEARCH;BIOPOLITICS WOMENS;WOMENS RIGHTS;REPRODUCTIVE JUSTICE;ECUADOR FICCIONES;FICCIONES DISIDENTES;DISIDENTES REESCRIBEN;REESCRIBEN LA;LA LEY;LEY INVESTIGACIÓN;TRAVÉS DEL;DEL ARTE;ARTE SOBRE;SOBRE BIOPOLÍTICA;BIOPOLÍTICA DERECHOS;DERECHOS DE;DE LAS;LAS MUJERES;JUSTICIA REPRODUCTIVA;REPRODUCTIVA EN;EN ECUADOR"
"GALAVOTTI C, 2022, SEX REPROD HLTH MATTERS";"REPRODUCTIVE POWER MATTERS: ALIGNING ACTIONS WITH VALUES IN GLOBAL FAMILY PLANNING";"REPRODUCTIVE POWER;POWER MATTERS;MATTERS ALIGNING;ALIGNING ACTIONS;GLOBAL FAMILY;FAMILY PLANNING"
"GALLOWAY K, 2018, ALTERN LAW J";"REPRODUCTIVE JUSTICE: A FRAMEWORK FOR ABORTION LAW REFORM";"REPRODUCTIVE JUSTICE;ABORTION LAW;LAW REFORM"
"GAMSON J, 2018, Reprod. Biomed. Soc. Online";"KINDRED SPIRITS?";"KINDRED SPIRITS"
"GANAPATHY S, 2021, FEM ANTHR";"UNFOLDING BIRTH JUSTICE IN SETTLER STATES";"UNFOLDING BIRTH;BIRTH JUSTICE"
"GANTT-SHAFER J, 2020, FRONT COMMUN";"``THEY JUST WENT AFTER US:'' REPRODUCTIVE JUSTICE ADVOCACY AT AN ABORTION FUND";"REPRODUCTIVE JUSTICE;JUSTICE ADVOCACY;ABORTION FUND"
"GANTT-SHAFER J, 2024, CULT STUD-CRIT METHODOLOGIES";"EVERYDAY PRACTICES, UNAFFORDABLE RIGHTS, RADICAL LIBERATION: REPRODUCTIVE JUSTICE DIRECT SERVICE ACTIVISM";"EVERYDAY PRACTICES;PRACTICES UNAFFORDABLE;UNAFFORDABLE RIGHTS;RIGHTS RADICAL;RADICAL LIBERATION;LIBERATION REPRODUCTIVE;REPRODUCTIVE JUSTICE;JUSTICE DIRECT;DIRECT SERVICE;SERVICE ACTIVISM"
"GANTT-SHAFER J, 2024, NEW MEDIA SOC";"IMMATERIAL INTIMACY: THE NEOLIBERAL ENTANGLEMENT OF DIGITAL TECHNOLOGIES IN SOCIAL MOVEMENT VOLUNTEER WORK";"IMMATERIAL INTIMACY;NEOLIBERAL ENTANGLEMENT;DIGITAL TECHNOLOGIES;SOCIAL MOVEMENT;MOVEMENT VOLUNTEER"
"GARCIA RR, 2020, MOBILIZATION";"LATINX FEMINIST POLITICMAKING: ON THE NECESSITY OF MESSINESS IN COLLECTIVE ACTION";"LATINX FEMINIST;FEMINIST POLITICMAKING;COLLECTIVE ACTION"
"GARCIA RR, 2022, SOCIOL PERSPECT";"``WE'RE NOT ALL ANTI-CHOICES'': HOW CONTROLLING IMAGES SHAPES LATINA/X FEMINIST ABORTION ADVOCACY";"CONTROLLING IMAGES;IMAGES SHAPES;SHAPES LATINAX;LATINAX FEMINIST;FEMINIST ABORTION;ABORTION ADVOCACY"
"GARCIA-PERAL B, 2024, J LESBIAN STUD";"THE MISAPPROPRIATION OF KNOWLEDGE: UNRAVELLING THE NARRATIVES OF EFFICIENCY AND DONOR FEAR IN THE MEDICALISATION OF REPRODUCTION FOR LESBIAN AND BISEXUAL WOMEN";"KNOWLEDGE UNRAVELLING;DONOR FEAR;BISEXUAL WOMEN"
"GARCIA-RAMIREZ M, 2020, INT J ENVIRON RES PUBLIC HEALTH";"ROMOMATTER: EMPOWERING ROMA GIRLS' MATTERING THROUGH REPRODUCTIVE JUSTICE";"ROMOMATTER EMPOWERING;EMPOWERING ROMA;ROMA GIRLS;GIRLS MATTERING;REPRODUCTIVE JUSTICE"
"GATERMANN J, 2022, PALGRAVE Stud. Sci. Pop. Cult.";"GROOMED FOR SURVIVAL—QUEER REPRODUCTIVE TECHNOLOGIES AND CROSS-SPECIES ASSEMBLAGES IN LARISSA LAI’S THE TIGER FLU";"SURVIVALQUEER REPRODUCTIVE;REPRODUCTIVE TECHNOLOGIES;CROSS-SPECIES ASSEMBLAGES;LARISSA LAIS;TIGER FLU"
