"";"SR";"TC";"PY";"TI";"AB";"DI";"DT"
"660";"HERNANDEZ LH, 2024, COMMUN EDUC";0;2024;"REPRODUCTIVE JUSTICE AND CRITICAL COMMUNICATION PEDAGOGY: AN ANALYSIS OF THE OVERTURNING OF <I>ROE V. WADE</I>";"IN THIS ARTICLE, WE PROVIDE AN OVERVIEW OF THE OVERTURNING OF ROE V. WADE AND CONSIDER ITS IMPLICATIONS FOR COMMUNICATION CLASSROOMS IN HIGHER EDUCATION. WE ASSERT THAT WE AS COMMUNICATION EDUCATORS HAVE A MORAL IMPERATIVE TO CONSIDER THE ROLE OF INTERSECTIONALITY AND REPRODUCTIVE JUSTICE IN OUR TEACHING PHILOSOPHIES AND IMPLEMENTATION, AND TO DO SO, WE DISCUSS THE INTERRELATED NATURE OF INTERSECTIONALITY, REPRODUCTIVE JUSTICE, AND CRITICAL COMMUNICATION PEDAGOGY.";"10.1080/03634523.2023.2295968";"EDITORIAL MATERIAL"
"661";"AJAYI-LOWO EO, 2024, MERIDIANS";0;2024;"SAFE MOTHERHOOD INITIATIVE: WHITHER AFRICAN INDIGENOUS BIRTHING KNOWLEDGE?";"IN THE QUEST TO CREATE GLOBAL MATERNAL HEALTH CARE PROTOCOLS, AFRICAN INDIGENOUS BIRTHING EPISTEMOLOGIES ARE OFTEN OVERLOOKED IN RESEARCH, POLICY, AND ADVOCACY AIMING TO IMPROVE MATERNAL HEALTH AND REDUCE THE MATERNAL MORTALITY RATIO (MMR). THE GLOBAL MATERNAL HEALTH STRATEGY, THE SAFE MOTHERHOOD INITIATIVE (SMI), EXCLUDES INDIGENOUS BIRTHING KNOWLEDGE BY REQUIRING ALL CHILDBIRTH TO BE ATTENDED BY ONLY BIRTH ATTENDANTS TRAINED IN THE WESTERN MEDICAL PARADIGM. THIS FORMS THE BEDROCK OF THE ASSUMED AUTHORITATIVE EXPERTISE OF THE WESTERN MEDICAL BIRTHING APPROACH. DESPITE THE CAMPAIGN FOR SOLE RELIANCE ON SMI, AFRICA'S MMR REMAINS THE HIGHEST COMPARED TO OTHER REGIONS. NIGERIA, AFRICA'S MOST POPULOUS COUNTRY, ALSO HAS THE THIRD-HIGHEST MMR IN THE WORLD AS OF 2020. THIS FAILURE OF SMI TO REDUCE MMR FOR NIGERIA AND AFRICA MORE BROADLY CALLS FOR THE INCLUSION OF MARGINALIZED INDIGENOUS BIRTHING KNOWLEDGE FOR ITS EPISTEMOLOGICAL AND PRACTICAL SIGNIFICANCE. USING NIGERIA AS A CASE STUDY, WITH A TRANSNATIONAL CONNECTION WITH THE UNITED STATES, THE ARTICLE ARGUES THAT EXCLUDING AFRICAN BIRTHING KNOWLEDGE AND METHODS IN SMI PROMOTES EPISTEMIC AND OBSTETRIC VIOLENCE. ADOPTING THE REPRODUCTIVE JUSTICE FRAMEWORK AS A DECOLONIAL TOOL, THE ARTICLE ASSERTS THAT AFRICAN INDIGENOUS BIRTHING KNOWLEDGE IS SIMULTANEOUSLY VALID AND VALUABLE FOR HOLISTIC APPROACHES TO MATERNAL HEALTH.";"10.1215/15366936-10926960";"ARTICLE"
"662";"BONAN C, 2024, CAD SAUDE PUBLICA";0;2024;"HEALTH CARE ITINERARIES FOR WOMEN IN SITUATIONS OF ABORTION: METHODOLOGICAL ASPECTS OF A QUALITATIVE STUDY FOR <I>BIRTH IN BRAZIL II</I> SURVEY";"IN RECENT DECADES, SEVERAL ACADEMIC STUDIES ON ABORTION HAVE BEEN PRODUCED IN BRAZIL, WITH DIFFERENT DESIGNS, OBJECTIVES, AND METHODOLOGIES. HOWEVER, DUE TO THE DIVERSITY OF SITUATIONS IN WHICH BRAZILIAN WOMEN EXPERIENCE ABORTION, THE COMPLEXITY OF THIS TOPIC, AND ITS MODULATIONS IN DIFFERENT POLITICAL AND SOCIOCULTURAL CONTEXTS, IT STILL CHALLENGES ACADEMICIANS AND THE FIELDS OF HEALTH AND REPRODUCTIVE RIGHTS. IN THIS ARTICLE, WE PRESENT METHODOLOGICAL ASPECTS OF A QUALITATIVE STUDY ON HEALTH CARE ITINERARIES OF WOMEN IN SITUATIONS OF ABORTION, A COMPONENT OF THE BIRTH IN BRAZIL II SURVEY, WHOSE OBJECTIVE IS TO DISCUSS THE EFFECTS OF GENDER; RACE/ETHNICITY; SOCIAL CLASS; GENERATIONAL, REGIONAL, AND TERRITORIAL INEQUALITIES ON CARE ITINERARIES. WE DISCUSS THE STUDY DESIGN DEVELOPMENT, THE CONSTRUCTION OF THE THEORETICAL FRAMEWORK AND SPECIFIC ANALYTICAL AXES, THE DEVELOPMENT OF INTERVIEW INSTRUMENT, DEFINITION OF PARTICIPANT SELECTION CRITERIA, STRATEGIES TO CONTACT PARTICIPANTS AND CONDUCT THE INTERVIEWS, MANAGEMENT OF FIELD WORK AND MATERIALS PRODUCED, ANALYTICAL PROCEDURES, AND ETHICAL ISSUES. IN TOTAL, 120 NARRATIVE INTERVIEWS WERE CONDUCTED IN ORDER TO INCLUDE A DIVERSITY OF WOMEN AND OBTAIN DETAILED RESULTS FROM THE QUANTITATIVE ANALYSIS UNDER BIRTH IN BRAZIL II SURVEY. THE CONTEXT OF CRIMINALIZATION OF ABORTION HAS AN IMPACT ON THE PRODUCTION OF KNOWLEDGE ON THIS SUBJECT, CREATING CHALLENGES SUCH AS DIFFICULT ACCESS TO WOMEN, WOMEN'S ANONYMITY, PRIVACY AND DATA CONFIDENTIALITY, CREATION OF OBJECTIVE AND SUBJECTIVE CONDITIONS SO THAT THEY CAN NARRATE THEIR EXPERIENCES IN DEPTH. WITH THIS ARTICLE, WE SEEK TO CONTRIBUTE TO THE DEBATE ABOUT THESE CHALLENGES IN ABORTION RESEARCH IN BRAZIL.";"10.1590/0102-311XEN006223";"ARTICLE"
"663";"HOFFMAN ND, 2024, PEDIATR REV";0;2024;"LONG-ACTING REVERSIBLE ETONOGESTREL SUBDERMAL IMPLANT IN ADOLESCENTS";"SEVERAL EFFECTIVE CONTRACEPTIVE OPTIONS ARE AVAILABLE FOR USE BY ADOLESCENTS, INCLUDING THE LONG-ACTING REVERSIBLE SUBDERMAL IMPLANT AND INTRAUTERINE DEVICES, WHICH PROVIDE A HIGH LEVEL OF CONVENIENCE, PRIVACY, AND EFFECTIVENESS FOR AN ADOLESCENT. KNOWLEDGE OF ALL THE EFFECTIVE BIRTH CONTROL METHODS IS ESSENTIAL FOR THE PEDIATRICIAN TO BE ABLE TO PROVIDE EFFECTIVE CONTRACEPTIVE COUNSELING FOR AN ADOLESCENT. AN APPROACH TO COUNSELING USING A REPRODUCTIVE JUSTICE FRAMEWORK, WHICH ALLOWS THE PROVIDER AND ADOLESCENT PATIENT TO ENGAGE IN SHARED DECISION-MAKING, IS DESCRIBED. THIS ARTICLE FOCUSES ON THE LONG-ACTING REVERSIBLE ETONOGESTREL (ENG) SUBDERMAL IMPLANT FOR ADOLESCENTS. THE ENG IMPLANT IS LABELED FOR PREVENTING PREGNANCY BY SUPPRESSING OVULATION. THE ENG IMPLANT MAY ALSO HAVE A ROLE IN AMELIORATING DYSMENORRHEA AND HEAVY MENSTRUAL BLEEDING. POSTLABELING STUDIES INDICATE THAT THE ENG IMPLANT IS EFFECTIVE FOR UP TO 5 YEARS, ALTHOUGH THE DEVICE'S LABELING STATES EFFECTIVENESSUP TO 3 YEARS. THE MAIN CONTRAINDICATION TO USING THE ENG IMPLANT IS PREGNANCY ITSELF. SAFE INITIATION OF THE ENG IMPLANT IS DESCRIBED, INCLUDING AN APPROACH TO DETERMINE WHETHER AN ADOLESCENT IS PREGNANT. THE MAIN ADVERSE EFFECT OF THE ENG IMPLANT IS AN UNPREDICTABLE BLEEDING PATTERN THAT IS MOST OFTEN AMELIORATED BY USE OF NONSTEROIDAL ANTI-INFLAMMATORY MEDICATIONS, AS WELL AS ESTROGEN, IF NOT CONTRAINDICATED FOR THE PATIENT. DETAILS OF THE INSERTION AND REMOVAL PROCEDURES, INCLUDING POTENTIAL COMPLICATIONS, ARE DESCRIBED TO ENABLE THE PEDIATRICIAN TO PROVIDE EFFECTIVE ANTICIPATORY GUIDANCE FOR THE ADOLESCENT.";"10.1542/pir.2022-005685";"ARTICLE"
"664";"KUSHWAHA M, 2024, RADIC TEACH";0;2024;"TEACHING TABOO TOPICS: MENSTRUATION IN A GLOBAL CONTEXT";"INADEQUATE MENSTRUAL HEALTH EDUCATION IS A GLOBAL PUBLIC HEALTH ISSUE. AN INNOVATIVE GLOBAL CLASSROOM COURSE, TEACHING MENSTRUAL HEALTH: DISPELLING MYTHS AND MISCONCEPTIONS, IS SITUATED AT THE INTERSECTION OF GENDER, CULTURE, AND HEALTH. THE COURSE ENGAGES STUDENTS FROM INDIA AND THE U.S. IN PROJECT-BASED LEARNING ON MENSTRUAL HEALTH AND MISCONCEPTIONS THAT IMPACT INDIVIDUALS AND COMMUNITIES. LINKING THE FIELDS OF PUBLIC HEALTH AND EDUCATION, STUDENTS ENGAGE IN LECTURES AND DISCUSSIONS THAT ADDRESS POWER IMBALANCES AND BUILD CULTURAL COMPETENCY BEFORE WORKING COLLABORATIVELY ON PROJECTS TO ADDRESS STIGMA AROUND MENSTRUATION. THE COURSE WAS DESIGNED TO ADDRESS COLONIAL NARRATIVES THAT MARGINALIZE MENSTRUATORS AND UNDERMINE WOMEN'S HEALTH. STUDENT EXPERIENCES ARE QUOTED TO DEMONSTRATE HOW THE FIVE COURSE DEVELOPMENT STRATEGIES CREATE ACTION FOR MENSTRUAL AND REPRODUCTIVE JUSTICE.";"10.5195/rt.2024.1202";"ARTICLE"
"665";"LEWIN A, 2024, WOMENS HEALTH";0;2024;"``THE THING IN MY ARM'': PROVIDING CONTRACEPTIVE SERVICES FOR ADOLESCENTS IN PRIMARY CARE";"BACKGROUND: DUE TO HIGH RATES OF UNINTENDED PREGNANCIES IN DELAWARE, THE STATE LAUNCHED A PUBLIC HEALTH INITIATIVE IN 2014 TO INCREASE ACCESS TO CONTRACEPTIVE SERVICES.OBJECTIVES: THIS STUDY WAS DESIGNED TO ASSESS THE PRACTICE-LEVEL BARRIERS AND FACILITATORS TO PROVIDING CONTRACEPTIVE CARE, PARTICULARLY LONG-ACTING REVERSIBLE CONTRACEPTIVES (LARCS), TO ADOLESCENTS IN PRIMARY CARE SETTINGS.DESIGN: THIS QUALITATIVE STUDY WAS PART OF A LARGER PROCESS EVALUATION OF THE DELAWARE CONTRACEPTIVE ACCESS NOW (DELCAN) INITIATIVE.METHODS: IN-DEPTH, SEMI-STRUCTURED QUALITATIVE INTERVIEWS WERE CONDUCTED WITH 16 PRACTICE ADMINISTRATORS AT 13 ADOLESCENT-SERVING PRIMARY CARE SITES ACROSS THE STATE OF DELAWARE. A PROCESS OF OPEN, AXIAL, AND SELECTIVE CODING WAS USED TO ANALYZE THE DATA.RESULTS: DESPITE THE INTEREST IN LARC AMONG THEIR ADOLESCENT PATIENTS, ADMINISTRATORS DESCRIBED NUMEROUS BARRIERS TO PROVIDING LARC FOR ADOLESCENTS INCLUDING CONFIDENTIALITY IN PATIENT VISITS AND BILLING, PRECEPTORSHIP, AND PROVIDER DISCOMFORT AND ASSUMPTIONS ABOUT THE NEED FOR CONTRACEPTION AMONG ADOLESCENT PATIENTS.CONCLUSION: FINDINGS FROM THIS STUDY REVEAL SUBSTANTIAL BARRIERS TO PROVIDING CONTRACEPTION TO ADOLESCENTS, EVEN IN PRIMARY CARE PRACTICES THAT WERE COMMITTED TO COMPREHENSIVE CONTRACEPTIVE ACCESS FOR THEIR ADOLESCENT PATIENTS. THIS STUDY SUPPORTS THE NEED FOR CONTRACEPTIVE CARE TO BE INTEGRATED INTO TRAINING OF PEDIATRICIANS AT EVERY STAGE OF THEIR EDUCATION. SUCH TRAINING MUST GO BEYOND EDUCATION ABOUT CONTRACEPTIVE OPTIONS AND THE CLINICAL SKILLS NECESSARY FOR LARC INSERTION AND REMOVAL, TO INCLUDE COUNSELING SKILLS BASED IN A REPRODUCTIVE JUSTICE FRAMEWORK. ADDITIONAL CHANGES IN POLICIES AND PRACTICES FOR ADOLESCENT PATIENTS WOULD FURTHER INCREASE ACCESS TO CONTRACEPTIVE CARE.";"10.1177/17455057241248399";"ARTICLE"
"666";"OPPERMAN R, 2024, CRIT PHILOS RACE";0;2024;"CHARLES MILLS'S ``BLACK TRASH'': REPRODUCING RACE, PIG WASTE, AND ECOLOGICAL RESISTANCE";"THE RECEPTION OF THE WORK OF CHARLES MILLS HAS MOSTLY BEEN RESTRICTED TO RESPONSES TO RAWLS, SOCIAL EPISTEMOLOGY, AND BLACK FEMINIST CRITIQUE. ALL OVERLOOK THE SUSTAINED ANALYSIS OF SPACE, RACE, AND WASTE, WHICH THIS ARTICLE ARGUES IS ITS MOST VALUABLE CONTRIBUTION FOR CRITICAL PHILOSOPHY OF RACE TODAY. THIS ARTICLE CLAIMS THAT THAT IN ADDITION TO ``COGNITIVE RESISTANCE,'' AN ANALYSIS OF BLACK TRASH SUGGESTS INTIMATE ECOLOGICAL RESISTANCE AS A FUNDAMENTAL ASPECT OF THE POLITICAL SELF-ASSERTION OF RACIALIZED ``SUBPERSONS,'' AND ARGUES THAT THIS CHALLENGES ANY QUALIFIED FIDELITY TO THE BASIC TENETS OF LIBERAL POLITICAL PHILOSOPHY. FOCUSING ON WASTE FROM THE PIG INDUSTRY IN NORTH CAROLINA, THE ARTICLE RETURNS TO MILLS'S ESSAY ``BLACK TRASH'' TO DEMONSTRATE THE IMPORTANCE OF ECOLOGY TO THE RACIAL CONTRACT AND ITS RENEWED RELEVANCE. BUILDING ON SHATEMA THREADCRAFT'S CRITICAL ENGAGEMENT WITH MILLS IN INTIMATE JUSTICE, THE ARTICLE CONCLUDES THAT A BLACK TRASH FEMINIST APPROACH THAT FOREGROUNDS INTIMATE MATTERS IS NECESSARY FOR ECOLOGICAL RESISTANCE.";"10.5325/critphilrace.12.2.0261";"ARTICLE"
"667";"VALENTINE D, 2024, CRIT PHILOS RACE";0;2024;"REPARATIONS FOR REPRODUCTIVE SLAVERY AND ITS AFTERLIVES";"CONTEMPORARY US DISCOURSE ON REPARATIONS TENDS TO FOCUS ON THE SUPPRESSION OF BLACK ECONOMIC INTERESTS, BUT THE HARMS OF SLAVERY ARE NOT EXHAUSTED BY THE LABOR EXPROPRIATION OF SLAVES AND ITS CONCOMITANT WEALTH ACCUMULATION FOR WHITE PEOPLE AND THE UNITED STATES AT LARGE. REPRODUCTIVE OPPRESSION WAS CONSTITUTIVE OF THE INSTITUTION OF SLAVERY, AND ITS HARMS CONTINUE TO REVERBERATE TODAY. THIS ARTICLE THUS CALLS FOR REPRODUCTIVE REPARATIONS, , OR THE TRANSPARENT AND SUSTAINED ATTENTION TO THE EFFECTS OF RACIALIZED REPRODUCTIVE OPPRESSION AS THEY INTERSECT WITH CALLS FOR REPARATIONS FOR SLAVERY. RECONCEIVING REPARATIONS THROUGH HISTORIES AND PRESENTS OF REPRODUCTIVE HARM IS REQUIRED TO MORE FULLY ACCOUNT FOR THE WRONGS OF SLAVERY AND PROVIDE A BROADER REACH FOR RADICAL SOCIETAL TRANSFORMATION IN OUR PRESENT.";"10.5325/critphilrace.12.2.0315";"ARTICLE"
"668";"VIROGA S, 2024, REV MED URUG";0;2024;"REPRODUCTIVE JUSTICE IN URUGUAY MATERNAL AND PERINATAL OUTCOMES IN THE INTEGRATED NATIONAL HEALTH SYSTEM";"INTRODUCTION: REPRODUCTIVE JUSTICE IS THE ABILITY OF DIVIDUALS AND SOCIETIES TO REALIZE SEXUAL AND REPRODUCTIVE RIGHTS. ON THE CONTRARY, REPRODUCTIVE INJUSTICE (RI) EXPOSES THE PRESENCE OF RISKS TO THE DEVELOPMENTAL PROCESS DURING PREGNANCY AND EARLY CHILDHOOD. OBJECTIVE: TO DESCRIBE THE EVOLUTION OF A SET OF INDICATORS RELATED TO REPRODUCTIVE JUSTICE IN THE INTEGRATED NATIONAL HEALTH SYSTEM (SNIS) OF URUGUAY OVER LAST 12 YEARS AND COMPARE TRENDS BETWEEN THE PUBLIC AND PRIVATE SUBSECTORS. METHODOLOGY: A DESCRIPTIVE, RETROSPECTIVE STUDY OF SET OF INDICATORS INCLUDED IN THE SUSTAINABLE DEVELOPMENT GOALS (SDGS) AND NATIONAL HEALTH OBJECTIVES WAS CONDUCTED. MATERNAL MORTALITY RATIO (MMR), INCIDENCE OF PRETERM BIRTH (PTB), LOW BIRTH WEIGHT (LBW), CONGENITAL SYPHILIS (CS) WERE ANALYZED IN THE PUBLIC AND PRIVATE SUBSECTORS OF THE SNIS OVER THE PAST YEARS. RESULTS: DURING THE ANALYZED PERIOD THE MATERNAL MORTALITY RATIO HAS ALWAYS BEEN HIGHER IN THE PUBLIC SUBSECTOR, EXCEPT IN THE YEAR 2015. THE INCIDENCE OF PRETERM BIRTH DURING THE PERIOD HAS RANGED BETWEEN 8.6\% AND 10\%. IT IS HIGHER IN THE PUBLIC SUBSECTOR, EXCEPT SOME PERIODS WHERE IT IS HIGHER IN THE PRIVATE SUBSECTOR. THE INCIDENCE OF LOW BIRTH WEIGHT IS ALWAYS HIGHER THE PUBLIC SUBSECTOR, WITH ITS HIGHEST INCIDENCE IN 2022 AT 9.3. CONGENITAL SYPHILIS HAS ALWAYS BEEN HIGHER THE PUBLIC SUBSECTOR, RANGING FROM 1.3 TO 7.1, WHILE IN THE PRIVATE SUBSECTOR, THE VALUES RANGE FROM 0.2 TO 0.6. CONCLUSIONS: THE DIFFERENCE IN THESE PERINATAL HEALTH INDICATORS BETWEEN THE TWO HEALTHCARE SUBSECTORS IN OUR COUNTRY REFLECTS THAT DESPITE HAVING AN INTEGRATED NATIONAL HEALTH SYSTEM, THERE IS A DISPARITY THAT IMPACTS THE RESULTS OF FINAL AND INTERMEDIATE INDICATORS, THUS DETERMINING THE EXISTENCE OF REPRODUCTIVE INJUSTICE.";"10.29193/RMU.40.2.1";"ARTICLE"
"669";"SCHWARTZ-DUPRE RL, 2024, CULT STUD-CRIT METHODOLOGIES";0;2024;"RELOCATING REPRODUCTIVE JUSTICE IN DONOR SPERM AND EGG CAPITALISM";"PRIVILEGED (IN VARIOUS FORMS, BUT ESPECIALLY CLASS) PEOPLE USE EGG OR SPERM DONATION AND TAKE OTHER REPRODUCTIVE MEASURES TO ACHIEVE PARENTHOOD AT ALL COSTS. INFERTILITY ISSUES FOR HETEROSEXUAL PARTNERS AND THOSE WHO USE DONOR EGGS AND SPERM OUTSIDE OF HETERONORMATIVE RELATIONSHIPS HAS EVOLVED INTO A TYPE OF ENTITLED DESPERATION AND RACIAL/ETHNIC/ABLE-BODIED FORM OF EUGENICS, BOTH FURTHER COMPLICATED BY THE CULTURAL MILIEU OF THE POST-DOBBS DECISION ERA. TO ILLUSTRATE HOW THESE RHETORICS OF INFERTILITY OPERATE WITHIN BROADER NEOLIBERAL AND RACIALIZED DISCOURSES, WE CRITICALLY CONSIDER THREE THEMES: FIRST, WE CONTEND THAT FERTILITY ISSUES SHOULD BECOME THEORIZED THROUGH REPRODUCTIVE JUSTICE THEORY, PARTICULARLY AS CLASS/RACE/NATION DIVIDES DONORS FROM RECIPIENTS, THROUGH FORMS OF CAPITALISTIC ENDEAVOR AS A RATIONAL ENTERPRISE; SECOND, WE REVIEW HOW ``INFERTILITY'' HAS BECOME RHETORICALLY IMPORTANT IN THE U.S. CULTURAL MILIEU IN CRITICAL COMMUNICATION AND CULTURAL STUDIES; AND FINALLY, WE ARGUE THAT DONOR RHETORICS REPRESENT A FORM OF NEOLIBERALISM SITUATED WITHIN RACIAL/ETHNIC ABLE-BODIED EUGENICS AND AN INABILITY TO CONCEIVE, WHICH RESULTS IN EMOTIONAL, PHYSICAL, AND FINANCIAL COST TO THE SELF AND SOCIETY.";"10.1177/15327086231217247";"ARTICLE"
"670";"THONG C, 2024, MED HUMANIT";0;2024;"CONCEPTUAL ANATOMY OF THE FEMALE GENITALIA USING TEXT MINING AND IMPLICATIONS FOR PATIENT CARE";"THIS ARTICLE ANALYSES THE CONCEPTUAL HISTORIES OF WORDS ASSOCIATED WITH FEMALE GENITAL PARTS TO EXPLORE HOW THEY MAY AFFECT THE LIVED EXPERIENCE OF PEOPLE WITH THESE PARTS AND THE QUALITY OF GYNAECOLOGICAL CARE THEY RECEIVE. SPECIFICALLY, WE EXAMINE THE IMPLICATIONS OF USING THE WORD `VAGINA' TO REPLACE THE WORD `VULVA', OR INDEED TO INDICATE THE ENTIRE FEMALE GENITALIA. THIS ARTICLE DOES SO THROUGH AN ANALYSIS OF EXISTING SCHOLARLY WORK AND THROUGH TEXT MINING METHODS SUCH AS WORD FREQUENCIES, MOST DISTINCTIVE WORD COLLOCATES AND WORD-EMBEDDINGS DRAWN FROM LITERARY AND WOMEN'S MAGAZINE CORPORA. WE FIND THAT WORDS INDICATING SPECIFIC FEMALE GENITAL PARTS ARE VERY INFREQUENTLY MENTIONED IN OUR CORPORA, WHICH SHOWS THAT THERE IS A TROUBLING LACK OF EXPOSURE AND EDUCATION IN OUR SOCIO-CULTURAL CONTEXT WHEN IT COMES TO THE FEMALE GENITAL ANATOMY. WHEN THEY ARE MENTIONED, THEIR USAGE REFLECTS HISTORICAL AND PATRIARCHAL ASSOCIATIONS THAT HAVE BEEN PRIMARILY ATTACHED TO THE WORD `VAGINA'. WHEN IT COMES TO THE `VAGINA' AND `VULVA', THE PENIS IS THE MOST PREVALENT ASSOCIATION BY FAR; WHEREAS THE MOST COMMONLY OCCURRING FEMALE GENITAL PARTS ARE PARTS TO DO WITH REPRODUCTION-REINFORCING A LONG-STANDING AND DISPROPORTIONATE EMPHASIS ON THE FEMALE GENITALIA'S REPRODUCTIVE FUNCTION. OUR RESEARCH ALSO REVEALS A CONCERNING EMPHASIS ON NON-EVIDENCE-BASED FEMALE HYGIENE PRODUCTS, THUS PERPETUATING THE DAMAGING STEREOTYPE OF THE DIRTY VAGINA. THESE FINDINGS MAY EXPLAIN MANY NEGATIVE PATIENT OUTCOMES SUCH AS STIGMA ATTACHED TO SEEKING OUT TIMELY GYNAECOLOGICAL CARE, LACK OF INFORMED MEDICAL CONSENT AND NON-EVIDENCE-BASED PRACTICES EXACERBATED BY PROBLEMATIC CULTURAL DEPICTIONS OF THE FEMALE GENITALIA. THEY CAN ALSO EXPLAIN THE NEGLECT OF FEMALE SEXUAL AGENCY, PLEASURE AND WELL-BEING. UNDERSTANDING HISTORICAL AND CONTEMPORARY USAGES OF WORDS FOR THE FEMALE GENITALIA HAS IMPORTANT IMPLICATIONS FOR THE QUALITY OF PATIENT CARE TODAY AND IS A CRITICAL COMPONENT OF GENDER AND REPRODUCTIVE JUSTICE.";"10.1136/medhum-2023-012747";"ARTICLE"
"671";"ROSEN RL, 2024, CULT STUD-CRIT METHODOLOGIES";0;2024;"PLANNED PARENTHOOD BEFORE AND AFTER <I>ROE</I>: HISTORICAL LESSONS FOR THE CURRENT FIGHT";"DURING THE 1970S, PLANNED PARENTHOOD (PP) WENT FROM AN ESTABLISHED, WELL-FUNDED BIRTH CONTROL PROVIDER IN THE POLITICAL MAINSTREAM TO A CONTROVERSIAL ORGANIZATION ASSOCIATED WITH ABORTION. AS ABORTION RIGHTS MOBILIZED BOTH FEMINISTS AND A CONSERVATIVE OPPOSITION, THE AGENDA AND RHETORIC OF PP HAD TO EXPAND AND ADJUST ACCORDINGLY. THIS PROJECT EXPLORES THE WAYS PP'S MISSION AND THE POLITICAL TERRAIN IN WHICH IT OPERATED BECAME MORE COMPLICATED IN THIS DECADE, FOCUSING ON THE STRATEGIES IT ADOPTED TO SURVIVE. THERE IS MUCH TO BE LEARNED FROM HOW THE ORGANIZATION SOUGHT TO WEATHER THE UNIQUE TENSIONS EXPERIENCED BY THE LEGALIZATION OF ABORTION, THE ENERGY OF THE WOMEN'S MOVEMENT, AND THE EMERGING BACKLASH AGAINST PERCEIVED LIBERAL EXCESSES AS IT NAVIGATED THE OFTEN OPPOSITIONAL DEMANDS OF BEING BOTH A SERVICE PROVIDER AND ADVOCATE. AS ABORTION ACCESS ENTERS A NEW ERA OF VULNERABILITY AND CONTESTATION, THE ROLE OF PP REMAINS UNCERTAIN. IN EXPLORING A KEY MOMENT IN THE ORGANIZATION'S PAST, WE ALSO PONDER THE ROLE OF PP IN THE DOBBS ERA AND WHETHER IT HAS EITHER THE CAPACITY OR POLITICAL WILL TO SERVE ITS CONSTITUENTS GIVEN ITS COMPLICATED HISTORY AND STILL COMPLICATED PRESENT.";"10.1177/15327086231217220";"ARTICLE"
"672";"GANTT-SHAFER J, 2024, CULT STUD-CRIT METHODOLOGIES";0;2024;"EVERYDAY PRACTICES, UNAFFORDABLE RIGHTS, RADICAL LIBERATION: REPRODUCTIVE JUSTICE DIRECT SERVICE ACTIVISM";"IN POST-ROE AMERICA, ACCESS TO REPRODUCTIVE CARE IS RAPIDLY DWINDLING, WITH THE CRIMINALIZATION OF ABORTION ON THE RISE. YET, IN THESE FRUSTRATING AND PERILOUS TIMES, ORGANIZATIONS, ACTIVISTS, AND VOLUNTEERS FACILITATE ACCESS TO CARE EVERY DAY VIA DIGITAL DIRECT SERVICE ACTIVISM. THIS ARTICLE IS A MEDITATION ON THE TRANSFORMATIONAL NATURE OF DIRECT SERVICE PRAXIS IN THE CONTEMPORARY REPRODUCTIVE JUSTICE MOVEMENT. TO DOCUMENT MY OWN ONGOING TRANSFORMATION, I INCLUDE AUTOETHNOGRAPHIC REFLECTIONS ON MY EXPERIENCES AS A DIRECT SERVICE VOLUNTEER FROM AUGUST 2021 TO DECEMBER 2022. PRACTICES SUCH AS DISTRIBUTING ABORTION FUNDING AND PEER COUNSELING ON AN ANONYMOUS TALKLINE HAVE TRANSFORMED MY UNDERSTANDING AND EXPERIENCE OF LIBERATION WORK. I WANT TO DRAW ATTENTION TO THESE QUIET ACTIONS AND EXCHANGES THAT OFTEN GO UNNOTICED IN OUR LOUD, NEOLIBERAL CAPITALIST CONTEXT. THESE COMMUNIONS OF CARE AND CONNECTION HELP FORGE THE FUTURE NOW, IN SMALL, RADICAL, AND TANGIBLE WAYS.";"10.1177/15327086231217228";"ARTICLE"
"673";"GIORGIO G, 2024, CULT STUD-CRIT METHODOLOGIES";0;2024;"INTRODUCTION SIJ <I>CS/CM</I> REPRODUCTIVE JUSTICE";"THIS ARTICLE INTRODUCES THE FOUR MANUSCRIPTS FOR THIS SPECIAL ISSUE OF CS/CM. THE ORDER OF THE ARTICLES IS THE SAME AS THE INTRODUCTION: PLANNED PARENTHOOD BEFORE AND AFTER ROE: HISTORICAL LESSONS FOR THE CURRENT FIGHT, RELOCATING REPRODUCTIVE JUSTICE IN DONOR SPERM AND EGG CAPITALISM, LET'S MAKE THE WOMB SAFE AGAIN, AND EVERYDAY PRACTICES, UNAFFORDABLE RIGHTS, RADICAL LIBERATION.";"10.1177/15327086231217218";"ARTICLE"
