"";"Term";"Cluster"
"SHANGES ISASSAFRASS";"SHANGES ISASSAFRASS";4
"SHANGES SASSAFRASS";"SHANGES SASSAFRASS";4
"SHAPE FEMINIST";"SHAPE FEMINIST";2
"SHARED DECISION";"SHARED DECISION";4
"SHARED FUTURES";"SHARED FUTURES";2
"SHIFTING GLOBAL";"SHIFTING GLOBAL";4
"SILOES INTERSECTIONALITY";"SILOES INTERSECTIONALITY";1
"SILVIA NANCLARES";"SILVIA NANCLARES";6
"SINGLE MOTHERS";"SINGLE MOTHERS";6
"SINGLE WOMEN";"SINGLE WOMEN";2
"SINNERS REPRODUCTIVE";"SINNERS REPRODUCTIVE";3
"SISTEMA NACIONAL";"SISTEMA NACIONAL";1
"SISTEMA ÚNICO";"SISTEMA ÚNICO";4
"SISTERLOVE GEORGIA";"SISTERLOVE GEORGIA";5
"SITE EXAMINING";"SITE EXAMINING";4
"SITU SEED";"SITU SEED";6
"SITUATED BODIES";"SITUATED BODIES";2
"SITUATED KINMAKING";"SITUATED KINMAKING";6
"SITUATING REPRODUCTIVE";"SITUATING REPRODUCTIVE";3
"SITUATIONAL ANALYSIS";"SITUATIONAL ANALYSIS";5
"SIZE FERTILITY";"SIZE FERTILITY";1
"SLANT VIEWS";"SLANT VIEWS";6
"SLAVES MARRONNAGE";"SLAVES MARRONNAGE";6
"SLIPPERY EUGENICS";"SLIPPERY EUGENICS";4
"SLOW VIOLENCE";"SLOW VIOLENCE";3
"SMARTPHONE APP";"SMARTPHONE APP";4
"SOCIAL ANALYSIS";"SOCIAL ANALYSIS";4
"SOCIAL CLASS";"SOCIAL CLASS";4
"SOCIAL EGG";"SOCIAL EGG";4
"SOCIAL EMBODIMENT";"SOCIAL EMBODIMENT";3
"SOCIAL IDENTITY";"SOCIAL IDENTITY";2
"SOCIAL INJUSTICE";"SOCIAL INJUSTICE";6
"SOCIAL ISSUES";"SOCIAL ISSUES";2
"SOCIAL MEANING";"SOCIAL MEANING";6
"SOCIAL MOVEMENTS";"SOCIAL MOVEMENTS";6
"SOCIAL PROCESS";"SOCIAL PROCESS";4
"SOCIAL REALISM";"SOCIAL REALISM";6
"SOCIAL SAFETY";"SOCIAL SAFETY";1
"SOCIAL SERVICES";"SOCIAL SERVICES";1
"SOCIAL STUDY";"SOCIAL STUDY";4
"SOCIAL THEORY";"SOCIAL THEORY";2
"SOCIAL WELFARE";"SOCIAL WELFARE";5
"SOCIO-CULTURAL RISK";"SOCIO-CULTURAL RISK";5
"SOCIO-LEGAL POLICIES";"SOCIO-LEGAL POLICIES";4
"SOCIOCULTURAL CONTEXT";"SOCIOCULTURAL CONTEXT";3
"SOCIOECONOMIC DISADVANTAGE";"SOCIOECONOMIC DISADVANTAGE";4
"SOCIOECONOMIC STRESSES";"SOCIOECONOMIC STRESSES";4
"SOCIOECONOMIC TRENDS";"SOCIOECONOMIC TRENDS";2
"SOFT STERILIZATION";"SOFT STERILIZATION";4
"SOLIDARITY DIMENSIONS";"SOLIDARITY DIMENSIONS";6
"SOLIDARITY PERFORMING";"SOLIDARITY PERFORMING";2
"SOLUTIONS GROUNDED";"SOLUTIONS GROUNDED";1
"SOUTH CAROLINA";"SOUTH CAROLINA";4
"SOUTHERN AFRICAN";"SOUTHERN AFRICAN";5
"SOUTHERN METHODIST";"SOUTHERN METHODIST";6
"SPANISH ACTIVISM";"SPANISH ACTIVISM";6
"SPANISH ROMA";"SPANISH ROMA";1
"SPATIAL CONSEQUENCES";"SPATIAL CONSEQUENCES";5
"SPATIAL IMAGINATION";"SPATIAL IMAGINATION";2
"SPATIAL READING";"SPATIAL READING";6
"SPATIALIZED INTERSECTIONALITY";"SPATIALIZED INTERSECTIONALITY";4
"SPECIFIC PERINATAL";"SPECIFIC PERINATAL";1
"SPORT BELONGS";"SPORT BELONGS";1
"SPORT STAKEHOLDERS";"SPORT STAKEHOLDERS";1
"SPOT ANTI-MULLERIAN";"SPOT ANTI-MULLERIAN";1
"SRHR POLICIES";"SRHR POLICIES";1
"ST JOHN";"ST JOHN";6
"STAGE-BASED IMPLEMENTATION";"STAGE-BASED IMPLEMENTATION";2
"STAKEHOLDER PERSPECTIVES";"STAKEHOLDER PERSPECTIVES";1
"STANDARD MEDICAL";"STANDARD MEDICAL";5
"STATUS MIGRANTS";"STATUS MIGRANTS";1
"STERILISATIONS TARGETED";"STERILISATIONS TARGETED";4
"STERILIZATION BIRTH";"STERILIZATION BIRTH";5
"STERILIZATION LONG-ACTING";"STERILIZATION LONG-ACTING";4
"STERILIZATION OBTAINMENT";"STERILIZATION OBTAINMENT";6
"STERILIZING BODY-TERRITORIES";"STERILIZING BODY-TERRITORIES";6
"STEVIE MERINO";"STEVIE MERINO";6
"STI PREVENTION";"STI PREVENTION";2
"STIGMA IMAGINED";"STIGMA IMAGINED";5
"STIGMA INTERROGATING";"STIGMA INTERROGATING";6
"STORY DOESNT";"STORY DOESNT";6
"STORY INTENDED";"STORY INTENDED";6
"STORYTELLING FAMILY";"STORYTELLING FAMILY";5
"STRATEGIC ADVOCACY";"STRATEGIC ADVOCACY";2
"STRATEGIC IGNORANCE";"STRATEGIC IGNORANCE";5
"STRATEGIES RESISTANCES";"STRATEGIES RESISTANCES";2
"STRATEGY MORALITY";"STRATEGY MORALITY";4
"STRATIFICATION LESSONS";"STRATIFICATION LESSONS";4
"STRIKE MOBILIZING";"STRIKE MOBILIZING";6
"STRUCTURAL APPROACH";"STRUCTURAL APPROACH";4
"STRUCTURAL BARRIER";"STRUCTURAL BARRIER";3
"STRUCTURAL BARRIERS";"STRUCTURAL BARRIERS";6
"STRUCTURAL COMPETENCY";"STRUCTURAL COMPETENCY";1
"STRUCTURAL FACTORS";"STRUCTURAL FACTORS";1
"STRUCTURAL INFERTILITY";"STRUCTURAL INFERTILITY";6
"STRUCTURALLY COMPETENT";"STRUCTURALLY COMPETENT";2
"STUDY APPLYING";"STUDY APPLYING";4
"STUDY WOMEN";"STUDY WOMEN";4
"SUBDERMAL IMPLANT";"SUBDERMAL IMPLANT";4
"SUBJECTIVITY ASSERTIONS";"SUBJECTIVITY ASSERTIONS";3
"SUBVERSIVE ACTS";"SUBVERSIVE ACTS";6
"SUBVERSIVE EPIDEMIOLOGY";"SUBVERSIVE EPIDEMIOLOGY";5
"SUCCESSES FAILURES";"SUCCESSES FAILURES";1
"SUFFRAGE HEALTH";"SUFFRAGE HEALTH";2
"SUGAMMADEX ANESTHESIA";"SUGAMMADEX ANESTHESIA";4
"SUPPORT NETWORKS";"SUPPORT NETWORKS";1
"SUPPORT WORKERS";"SUPPORT WORKERS";1
"SUPPORTABILITY REPARATIVE";"SUPPORTABILITY REPARATIVE";2
"SUPPORTING CRITICAL";"SUPPORTING CRITICAL";4
"SUPPORTING INTELLECTUALLY";"SUPPORTING INTELLECTUALLY";1
"SURGICAL PATIENT";"SURGICAL PATIENT";1
"SURROGACY BANS";"SURROGACY BANS";6
"SURROGACY BIOMARKETS";"SURROGACY BIOMARKETS";2
"SURROGACY CLAIMS";"SURROGACY CLAIMS";6
"SURROGACY CONFLICTING";"SURROGACY CONFLICTING";6
"SURROGACY JOURNEYS";"SURROGACY JOURNEYS";6
"SURROGACY LA";"SURROGACY LA";1
"SURROGACY RELATIONSHIPS";"SURROGACY RELATIONSHIPS";6
"SURVIVALQUEER REPRODUCTIVE";"SURVIVALQUEER REPRODUCTIVE";4
"SUSTAINABLE CROSS-CULTURAL";"SUSTAINABLE CROSS-CULTURAL";1
"SUSTAINABLE DEVELOPMENT";"SUSTAINABLE DEVELOPMENT";2
"SUSTAINED COMMITMENT";"SUSTAINED COMMITMENT";1
"SUSTAINING OUTRAGE";"SUSTAINING OUTRAGE";1
"SWEDEN PLANNING";"SWEDEN PLANNING";4
"SWEDISH FAMILY";"SWEDISH FAMILY";2
"SWIMMING LEARNING";"SWIMMING LEARNING";6
"SYMPOETIC SCHOLARSHIP";"SYMPOETIC SCHOLARSHIP";6
"SYRIAN REFUGEES";"SYRIAN REFUGEES";3
"SYSTEMATICALLY UNDERREPRESENTED";"SYSTEMATICALLY UNDERREPRESENTED";2
"SYSTEMS ANALYSES";"SYSTEMS ANALYSES";1
"SYSTEMS CRIMINALIZE";"SYSTEMS CRIMINALIZE";5
"SYSTEMS THINKING";"SYSTEMS THINKING";1
"TABOO TOPICS";"TABOO TOPICS";4
"TACKLING SYSTEMIC";"TACKLING SYSTEMIC";1
"TAKATA WAHINE";"TAKATA WAHINE";4
"TAKING MATTERS";"TAKING MATTERS";6
"TALKING CURE";"TALKING CURE";5
"TAMARIKI PRACTICE";"TAMARIKI PRACTICE";3
"TAMING BODIES";"TAMING BODIES";4
"TEAM-FACING MEDICAL-LEGAL";"TEAM-FACING MEDICAL-LEGAL";2
"TEARS REPRODUCTIVE";"TEARS REPRODUCTIVE";6
"TECHNOFEMINIST INTERVENTION";"TECHNOFEMINIST INTERVENTION";6
"TECHNOLOGIES COMPANIES";"TECHNOLOGIES COMPANIES";4
"TECHNOLOGIES MATTERS";"TECHNOLOGIES MATTERS";4
"TECHNOLOGIES REPORT";"TECHNOLOGIES REPORT";2
"TECHNOLOGY APPLYING";"TECHNOLOGY APPLYING";2
"TECHNOLOGY CHALLENGES";"TECHNOLOGY CHALLENGES";6
"TECHNOSCIENTIFIC HEALTHISM";"TECHNOSCIENTIFIC HEALTHISM";6
"TEMPORAL INFOVEILLANCE";"TEMPORAL INFOVEILLANCE";1
"TEÓRICO-POLÍTICOS ACIRRADOS";"TEÓRICO-POLÍTICOS ACIRRADOS";4
"TERRY MCGOVERN";"TERRY MCGOVERN";2
"TESTING CHALLENGES";"TESTING CHALLENGES";4
"TEXAS HOSPITALS";"TEXAS HOSPITALS";4
"TEXT MINING";"TEXT MINING";4
"THAI TRANSMAN";"THAI TRANSMAN";2
"THEOLOGY ENHANCES";"THEOLOGY ENHANCES";3
"THEORIES FIRSHT";"THEORIES FIRSHT";1
"THEORY-BASED FORMATIVE";"THEORY-BASED FORMATIVE";4
"THEORY-BASED INTERACTIVE";"THEORY-BASED INTERACTIVE";4
"THEORY BUILDING";"THEORY BUILDING";2
"THEORY SANTIAGO";"THEORY SANTIAGO";2
"THINKING TRANSNATIONALLY";"THINKING TRANSNATIONALLY";6
"THREAT MULTIPLIER";"THREAT MULTIPLIER";4
"TIGER FLU";"TIGER FLU";4
"TIMETHE DOCUMENTARY";"TIMETHE DOCUMENTARY";6
"TIMORESE WOMEN";"TIMORESE WOMEN";2
"TONI MORRISON";"TONI MORRISON";3
"TOOLKIT APPROACH";"TOOLKIT APPROACH";2
"TOPICS MENSTRUATION";"TOPICS MENSTRUATION";4
"TORONTO CANADA";"TORONTO CANADA";4
"TORTURED BODIES";"TORTURED BODIES";6
"TOTAL ERASURE";"TOTAL ERASURE";1
"TOXIC EROTICS";"TOXIC EROTICS";6
"TRACES GLIMPSES";"TRACES GLIMPSES";6
"TRACING EPISTEMIC";"TRACING EPISTEMIC";5
"TRADITIONAL PRECONCEPTION";"TRADITIONAL PRECONCEPTION";1
"TRANS ACTIVISM";"TRANS ACTIVISM";5
"TRANS FEMINISMS";"TRANS FEMINISMS";4
"TRANS PEOPLES";"TRANS PEOPLES";4
"TRANS PREGNANCY";"TRANS PREGNANCY";4
"TRANS REPRODUCTIVE";"TRANS REPRODUCTIVE";4
"TRANS RIGHTS";"TRANS RIGHTS";6
"TRANSCENDING BORDERS";"TRANSCENDING BORDERS";2
"TRANSDISCIPLINARY IMAGINATION";"TRANSDISCIPLINARY IMAGINATION";1
"TRANSFORM KINSHIP";"TRANSFORM KINSHIP";5
"TRANSFORMATIVE INTERSECTIONAL";"TRANSFORMATIVE INTERSECTIONAL";4
"TRANSFORMING PEDIATRIC";"TRANSFORMING PEDIATRIC";4
"TRANSGENDER MIGRANT";"TRANSGENDER MIGRANT";3
"TRANSGENDER REPRODUCTIVE";"TRANSGENDER REPRODUCTIVE";5
"TRANSGENDER SEXUAL";"TRANSGENDER SEXUAL";1
"TRANSGRESSION REPRODUCTIVE";"TRANSGRESSION REPRODUCTIVE";1
"TRANSLATING TRAVESTY";"TRANSLATING TRAVESTY";5
"TRANSMITTED HIV";"TRANSMITTED HIV";5
"TRANSNATIONAL BIO-ECONOMIES";"TRANSNATIONAL BIO-ECONOMIES";6
"TRANSNATIONAL COMMENT";"TRANSNATIONAL COMMENT";6
"TRANSNATIONAL COMMERCIAL";"TRANSNATIONAL COMMERCIAL";6
"TRANSNATIONAL FEMINISM";"TRANSNATIONAL FEMINISM";3
"TRANSNATIONAL FEMINIST";"TRANSNATIONAL FEMINIST";2
"TRANSNATIONAL MOVEMENT";"TRANSNATIONAL MOVEMENT";6
"TRANSNATIONAL SOLIDARITY";"TRANSNATIONAL SOLIDARITY";5
"TRANSNATIONALLY REPRODUCTIVE";"TRANSNATIONALLY REPRODUCTIVE";6
"TRANSPLANT RECIPIENTS";"TRANSPLANT RECIPIENTS";4
"TRASH REPRODUCING";"TRASH REPRODUCING";4
"TRAUMA IMMIGRATION";"TRAUMA IMMIGRATION";1
"TRAUMA KEETOOWAH";"TRAUMA KEETOOWAH";3
"TRAUMA PRODUCED";"TRAUMA PRODUCED";1
"TRAUMA TRAGEDY";"TRAUMA TRAGEDY";4
"TRAVESTY GLOBAL";"TRAVESTY GLOBAL";5
"TREATING IMYCOPLASMA";"TREATING IMYCOPLASMA";2
"TREES IRACE";"TREES IRACE";4
"TRIBAL CITIZENSHIP";"TRIBAL CITIZENSHIP";3
"TROUBLESOME REPRODUCTION";"TROUBLESOME REPRODUCTION";6
"TRUE CHOICE";"TRUE CHOICE";1
"TRUE CHOICES";"TRUE CHOICES";1
"TRUST BLACK";"TRUST BLACK";2
"TRUTH COMMISSIONS";"TRUTH COMMISSIONS";4
"TUBAL LIGATION";"TUBAL LIGATION";4
"TURBULENT ERA";"TURBULENT ERA";5
"TURTLE ISLAND";"TURTLE ISLAND";6
"TWENTY-FIRST CENTURIES";"TWENTY-FIRST CENTURIES";6
"TWITTER TEMPORAL";"TWITTER TEMPORAL";1
"TWO-SPIRIT TRANS";"TWO-SPIRIT TRANS";4
"UGLY INCIDENTI";"UGLY INCIDENTI";5
"UK MATERNITY";"UK MATERNITY";1
"UK POLICIES";"UK POLICIES";4
"ULSTER UNIVERSITY";"ULSTER UNIVERSITY";5
"UMA PEDAGOGIA";"UMA PEDAGOGIA";2
"UN-PRESENTABLE ANNIE";"UN-PRESENTABLE ANNIE";6
"UNA SENTENCIA";"UNA SENTENCIA";4
"UNAFFORDABLE RIGHTS";"UNAFFORDABLE RIGHTS";2
"UNANTICIPATED CONSEQUENCES";"UNANTICIPATED CONSEQUENCES";4
"UNASSISTED CHILDBIRTH";"UNASSISTED CHILDBIRTH";6
"UNBORN CHILD";"UNBORN CHILD";1
"UNCERTAIN FUTURES";"UNCERTAIN FUTURES";2
"UNCERTAINTY-A QUALITATIVE";"UNCERTAINTY-A QUALITATIVE";3
"UNCOVERING REPRODUCTIVE";"UNCOVERING REPRODUCTIVE";6
"UNDERCOMMONING ANTHROGENESIS";"UNDERCOMMONING ANTHROGENESIS";5
"UNDERREPRESENTED CHILDBEARING";"UNDERREPRESENTED CHILDBEARING";2
"UNDERSTANDING BARRIERS";"UNDERSTANDING BARRIERS";4
"UNDERSTANDING CONTEMPORARY";"UNDERSTANDING CONTEMPORARY";6
"UNDERSTANDING EUGENICS";"UNDERSTANDING EUGENICS";5
"UNDERSTANDING GLOBAL";"UNDERSTANDING GLOBAL";2
"UNDERSTANDING HEALTH";"UNDERSTANDING HEALTH";1
"UNDERSTANDING OBSTETRIC";"UNDERSTANDING OBSTETRIC";2
"UNDERSTANDING WOMENS";"UNDERSTANDING WOMENS";2
"UNDOCUMENTED IIMMIGRANT";"UNDOCUMENTED IIMMIGRANT";2
"UNDOCUMENTED WOMENS";"UNDOCUMENTED WOMENS";6
"UNDOING LEGACIES";"UNDOING LEGACIES";4
"UNEVEN LANDSCAPE";"UNEVEN LANDSCAPE";6
"UNFINISHED BUSINESS";"UNFINISHED BUSINESS";2
"UNFINISHED REVOLUTION";"UNFINISHED REVOLUTION";5
"UNFOLDING BIRTH";"UNFOLDING BIRTH";4
"UNHEROIC REPRODUCTIVE";"UNHEROIC REPRODUCTIVE";6
"UNHOUSED WOMEN";"UNHOUSED WOMEN";6
"UNIVERSITY NORTHERN";"UNIVERSITY NORTHERN";5
"UNMAPPABLE UNGOVERNABLE";"UNMAPPABLE UNGOVERNABLE";1
"UNMET EXPECTATIONS";"UNMET EXPECTATIONS";3
"UNPACKING INTERSECTIONAL";"UNPACKING INTERSECTIONAL";6
"UNREGULATED SPERM";"UNREGULATED SPERM";4
"UNRULY UNMAPPABLE";"UNRULY UNMAPPABLE";1
"UPROOTING RACE";"UPROOTING RACE";4
"URBAN CHINA";"URBAN CHINA";4
"URBAN SETTLEMENTS";"URBAN SETTLEMENTS";4
"URBAN WOMEN";"URBAN WOMEN";2
"URUGUAY MATERNAL";"URUGUAY MATERNAL";1
"URUGUAY RESULTADOS";"URUGUAY RESULTADOS";1
"US-MEXICO BORDERLANDS";"US-MEXICO BORDERLANDS";2
"UTAH COHORT";"UTAH COHORT";4
"UTERINE GEOGRAPHY";"UTERINE GEOGRAPHY";2
"UTERINE VIOLENCE";"UTERINE VIOLENCE";2
"UTERUS COLLECTORS";"UTERUS COLLECTORS";4
"UTERUS TRANSPLANT";"UTERUS TRANSPLANT";4
"UTILIZING MARGARET";"UTILIZING MARGARET";2
"UTOPIAS REALI";"UTOPIAS REALI";2
"VACCINE REFUSAL";"VACCINE REFUSAL";6
"VALUING REPRODUCTIVE";"VALUING REPRODUCTIVE";6
"VANISHING WORLD";"VANISHING WORLD";6
"VARIATIONS INTERSEX";"VARIATIONS INTERSEX";6
"VERBAL DISRESPECT";"VERBAL DISRESPECT";2
"VERSUS LIBERAL";"VERSUS LIBERAL";6
"VERSUS STANDARD";"VERSUS STANDARD";5
"VERY-LOW-BIRTHWEIGHT INFANTS";"VERY-LOW-BIRTHWEIGHT INFANTS";4
"VIEW WOMEN";"VIEW WOMEN";6
"VIEWS RECOGNIZING";"VIEWS RECOGNIZING";6
"VIOLATING REPRODUCTIVE";"VIOLATING REPRODUCTIVE";5
"VIOLENCE BODY-TALK";"VIOLENCE BODY-TALK";2
"VIOLENCE EXCEPTIONALISM";"VIOLENCE EXCEPTIONALISM";2
"VIOLENCE FINDINGS";"VIOLENCE FINDINGS";5
"VIOLENCE GENDERED";"VIOLENCE GENDERED";4
"VIOLENCE GOTHIC";"VIOLENCE GOTHIC";4
"VIOLENCE INFORMS";"VIOLENCE INFORMS";4
"VIOLENCE REPRODUCTIVE";"VIOLENCE REPRODUCTIVE";4
"VIOLENCE RIGHTS";"VIOLENCE RIGHTS";3
"VIOLENCE TRAUMA";"VIOLENCE TRAUMA";4
"VIOLENCE VICTIMIZATION";"VIOLENCE VICTIMIZATION";3
"VIOLENT LEGACY";"VIOLENT LEGACY";5
"VISIONING FORWARD";"VISIONING FORWARD";4
"VISUAL ACTIVISM";"VISUAL ACTIVISM";6
"VISUAL RHETORICS";"VISUAL RHETORICS";4
"VISUALIZING BIRTH";"VISUALIZING BIRTH";2
"VISUALIZING PATTERNS";"VISUALIZING PATTERNS";1
"VITAL CONDITIONS";"VITAL CONDITIONS";1
"VIVIENNE FRANZMANNS";"VIVIENNE FRANZMANNS";4
"VOICES RECOMMENDATIONS";"VOICES RECOMMENDATIONS";6
"VOICING WOMENS";"VOICING WOMENS";5
"VOLUNTARY STERILIZATION";"VOLUNTARY STERILIZATION";6
"VOLUNTEER BIRTH";"VOLUNTEER BIRTH";2
"VULNERABILISING CONTEXTS";"VULNERABILISING CONTEXTS";1
"VULNERABLE WOMENS";"VULNERABLE WOMENS";4
"WADE AOTEAROA";"WADE AOTEAROA";6
"WADE ERA";"WADE ERA";3
"WAIT EXPERIENCES";"WAIT EXPERIENCES";1
"WAITING PERIOD";"WAITING PERIOD";6
"WARDS LITERARY";"WARDS LITERARY";1
"WASHINGTON DC";"WASHINGTON DC";6
"WATER HUMAN";"WATER HUMAN";5
"WATER SUGGESTIONS";"WATER SUGGESTIONS";4
"WEAK RESISTANCE";"WEAK RESISTANCE";6
"WEEKS GESTATION";"WEEKS GESTATION";4
"WEIGHT RETENTION";"WEIGHT RETENTION";1
"WELFARE ACT";"WELFARE ACT";4
"WELFARE PROGRAMS";"WELFARE PROGRAMS";5
"WEST GERMANY";"WEST GERMANY";6
"WESTERN COUNTRIES";"WESTERN COUNTRIES";4
"WESTERN KENYA";"WESTERN KENYA";2
"WESTERN UGANDA";"WESTERN UGANDA";4
"WHATS CHOICE";"WHATS CHOICE";3
"WHITE EVANGELICAL";"WHITE EVANGELICAL";6
"WHITE FEMINIST";"WHITE FEMINIST";5
"WHITE LADY";"WHITE LADY";4
"WHITE PRIVILEGE";"WHITE PRIVILEGE";4
"WHOLLY INHABIT";"WHOLLY INHABIT";4
"WISELY PARALLELING";"WISELY PARALLELING";3
"WITHDRAW CONSENT";"WITHDRAW CONSENT";3
"WITHDRAWAL EXPERIENCES";"WITHDRAWAL EXPERIENCES";1
"WITNESS OBSTETRIC";"WITNESS OBSTETRIC";2
"WOMAN CARD";"WOMAN CARD";6
"WOMANHOOD PUSSYHATS";"WOMANHOOD PUSSYHATS";6
"WOMANS HEALTH";"WOMANS HEALTH";6
"WOMB CONVERGING";"WOMB CONVERGING";4
"WOMB SAFE";"WOMB SAFE";6
"WOMEN ACHIEVE";"WOMEN ACHIEVE";4
"WOMEN AGING";"WOMEN AGING";4
"WOMEN BIRTH";"WOMEN BIRTH";2
"WOMEN BUILT";"WOMEN BUILT";1
"WOMEN CAMPAIGN";"WOMEN CAMPAIGN";6
"WOMEN DESERVE";"WOMEN DESERVE";5
"WOMEN FARMWORKERS";"WOMEN FARMWORKERS";4
"WOMEN IMPLICATIONS";"WOMEN IMPLICATIONS";1
"WOMEN KILLING";"WOMEN KILLING";5
"WOMEN KINSHIP";"WOMEN KINSHIP";4
"WOMEN LESBIAN";"WOMEN LESBIAN";1
"WOMEN NAVIGATE";"WOMEN NAVIGATE";2
"WOMEN PREGNANCY";"WOMEN PREGNANCY";1
"WOMEN PREGNANT";"WOMEN PREGNANT";4
"WOMEN PREVALENCE";"WOMEN PREVALENCE";1
"WOMEN QUARTERLYI";"WOMEN QUARTERLYI";6
"WOMEN RELIGIOUS";"WOMEN RELIGIOUS";2
"WOMEN RURAL";"WOMEN RURAL";2
"WOMEN SEEKING";"WOMEN SEEKING";5
"WOMEN SEX";"WOMEN SEX";1
"WOMEN TAMING";"WOMEN TAMING";4
"WOMEN TWO-SPIRIT";"WOMEN TWO-SPIRIT";4
"WOMEN UNDERSTANDING";"WOMEN UNDERSTANDING";4
"WOMENS ACCESS";"WOMENS ACCESS";6
"WOMENS BELIEFS";"WOMENS BELIEFS";3
"WOMENS CHRISTIAN";"WOMENS CHRISTIAN";6
"WOMENS DIGITAL";"WOMENS DIGITAL";6
"WOMENS EXPERIMENTAL";"WOMENS EXPERIMENTAL";4
"WOMENS FERTILITY";"WOMENS FERTILITY";4
"WOMENS FICTION";"WOMENS FICTION";6
"WOMENS FIGHT";"WOMENS FIGHT";6
"WOMENS LANGUAGE";"WOMENS LANGUAGE";6
"WOMENS MEMOIRS";"WOMENS MEMOIRS";6
"WOMENS MENTAL";"WOMENS MENTAL";4
"WOMENS MOTIVATIONS";"WOMENS MOTIVATIONS";6
"WOMENS MOVEMENT";"WOMENS MOVEMENT";2
"WOMENS NARRATIVES";"WOMENS NARRATIVES";5
"WOMENS NATIONAL";"WOMENS NATIONAL";5
"WOMENS POSTPARTUM";"WOMENS POSTPARTUM";1
"WOMENS PREGNANCY";"WOMENS PREGNANCY";2
"WOMENS RESISTANCE";"WOMENS RESISTANCE";4
"WOMENS STUDIES";"WOMENS STUDIES";2
"WOMENS SUFFRAGE";"WOMENS SUFFRAGE";2
"WOMENS WRITING";"WOMENS WRITING";6
"WONT HAPPEN";"WONT HAPPEN";6
"WORD ASSESSING";"WORD ASSESSING";6
"WORKERS REFLECTIONS";"WORKERS REFLECTIONS";1
"WORLD DYSTOPIA";"WORLD DYSTOPIA";6
"WORLD SUFFERING";"WORLD SUFFERING";1
"WORLD TEAM-FACING";"WORLD TEAM-FACING";2
"WORLDS WOMEN";"WORLDS WOMEN";4
"WRONG REPRODUCTIVE";"WRONG REPRODUCTIVE";2
"WRONGFUL BIRTH";"WRONGFUL BIRTH";6
"YA-FEMINIST STRATEGIES";"YA-FEMINIST STRATEGIES";5
"YOUTUBE DOCUMENTARIES";"YOUTUBE DOCUMENTARIES";6
"ZEALAND-A VIEWPOINT";"ZEALAND-A VIEWPOINT";6
"ZEALAND FINDINGS";"ZEALAND FINDINGS";4
"ZIMBABWEAN WOMENS";"ZIMBABWEAN WOMENS";5
